Qubit,T1_us,T2_us,Frequency_GHz,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,Readout_length_ns,ID_error_,One,One_pred,RSE
0,237.363640207058,60.47969240018557,4.721905257319033,0.033203125,0.0283203125,0.0380859375,1300,0.0001734065740478,999.0,353,417316.0
1,158.45256790461264,306.6382369930084,4.815136886686477,0.02490234375,0.01611328125,0.03369140625,1300,7.17078124105e-05,265.0,265,0.0
2,227.8750927230388,267.9119653614913,4.609656708225,0.014892578125,0.0166015625,0.01318359375,1300,0.0003293684085777,525.0,206,101761.0
3,366.2675928480455,391.6436882299018,4.875546361672497,0.023681640625,0.00927734375,0.0380859375,1300,0.0001072344262964,221.0,311,8100.0
4,172.24369977361226,171.70368343098505,4.818169983483916,0.015625,0.0126953125,0.0185546875,1300,0.0001072341151506,248.0,196,2704.0
5,225.67540407570323,220.38074977243463,4.7341547310763685,0.009033203125,0.00537109375,0.0126953125,1300,8.96154926666e-05,148.0,158,100.0
6,223.59246244380788,83.15010574387493,4.876291127043162,0.018798828125,0.025390625,0.01220703125,1300,0.0002654272281749,90.0,236,21316.0
7,305.1706883653607,263.1396460704861,4.967503228716928,0.009521484375,0.0087890625,0.01025390625,1300,0.0002545484611121,229.0,184,2025.0
8,326.53473998060616,243.50256007339945,4.902360994902699,0.010498046875,0.0107421875,0.01025390625,1300,0.0001774487344584,137.0,197,3600.0
9,406.53941390709633,173.71557353229463,4.987233567312411,0.008056640625,0.00732421875,0.0087890625,1300,0.0001318647973293,89.0,199,12100.0
10,170.16594938485383,222.03664718935835,4.831527244497341,0.02197265625,0.01806640625,0.02587890625,1300,0.0001214329576312,458.0,246,44944.0
11,205.7224190331731,434.74928590199846,4.9723887191418505,0.15966796875,0.15185546875,0.16748046875,1300,0.0001759860271404,430.0,1346,839056.0
12,338.3716887812377,164.3107462057929,4.936321850521629,0.017822265625,0.01123046875,0.0244140625,1300,0.0001279350496918,141.0,258,13689.0
13,252.9946090284145,61.5982989786162,5.005803758042261,0.028076171875,0.01806640625,0.0380859375,1300,0.0002414188771671,176.0,316,19600.0
14,276.9729936703178,122.9701473505566,4.903344737422966,0.0166015625,0.01220703125,0.02099609375,1300,0.0002106852708509,323.0,232,8281.0
15,304.941767605406,42.92847532995483,4.947907109315612,0.01220703125,0.01220703125,0.01220703125,1300,0.0003592117090424,123.0,205,6724.0
16,252.38336309162125,16.372709835707646,4.960332209675662,0.01806640625,0.013671875,0.0224609375,1300,0.0002968054869654,178.0,237,3481.0
17,183.08100247970776,221.53029918683947,4.820815999107069,0.017333984375,0.01171875,0.02294921875,1300,0.0001692053775096,163.0,212,2401.0
18,119.68547096349434,93.22240520103266,4.788131681391996,0.0166015625,0.01904296875,0.01416015625,1300,0.0003159875488943,192.0,190,4.0
19,320.1397973200648,139.52284668740532,4.7470127541983,0.01513671875,0.0234375,0.0068359375,1300,0.0002094519022097,148.0,233,7225.0
20,205.8218312349316,219.76466909033044,4.862344373616834,0.0185546875,0.00927734375,0.02783203125,1300,0.0002163763016461,496.0,228,71824.0
21,250.23070936166383,134.4814964627794,4.966489178568096,0.009521484375,0.00634765625,0.0126953125,1300,0.0001452744100939,176.0,169,49.0
22,275.8668086066445,201.19256018723257,5.038195362941405,0.02099609375,0.03369140625,0.00830078125,1300,0.0003638582338904,167.0,268,10201.0
23,337.75458633878696,183.01285187082897,4.844979209579568,0.00927734375,0.01025390625,0.00830078125,1300,0.0001496298842987,92.0,191,9801.0
24,230.8487331982512,119.6171321492539,5.10078649303592,0.12548828125,0.01416015625,0.23681640625,1300,0.0001558721660167,384.0,1073,474721.0
25,215.4356220836172,178.22225809635287,4.945225748546381,0.02099609375,0.00390625,0.0380859375,1300,0.0001488790791938,119.0,249,16900.0
26,228.94403018509547,17.493510576837703,4.854111516835544,0.030029296875,0.04736328125,0.0126953125,1300,0.0017859892335793,204.0,327,15129.0
27,326.91858935625186,227.6277868179083,4.747642528677403,0.064208984375,0.08984375,0.03857421875,1300,0.0001470913716844,736.0,625,12321.0
28,225.45173929366408,100.80527155061424,4.994404735606249,0.043212890625,0.01123046875,0.0751953125,1300,0.0004131080085591,147.0,426,77841.0
29,330.0988703062876,295.2070706019093,4.62864352948515,0.0185546875,0.02490234375,0.01220703125,1300,0.0001988376610223,264.0,263,1.0
