Qubit,p_i
0,0.9688090737240044
1,0.9439981096408288
2,0.9599480151228704
3,0.958766540642719
4,0.8648393194706968
5,0.9940926275992408
6,0.9233223062381825
7,0.9623109640831728
8,0.8353024574669162
9,0.9091446124763676
10,0.9728260869565186
11,0.9203686200378044
12,0.9409262759924356
13,0.9528591682419628
14,0.9380907372400726
15,0.990548204158787
16,0.905600189035914
17,0.9623109640831728
18,0.9728260869565186
19,0.9528591682419628
20,0.8057655954631356
21,0.9940926275992408
22,0.9310018903591654
23,0.9682183364839289
24,0.9286389413988628
25,0.9333648393194678
26,0.905600189035914
27,0.8707466918714529
28,0.937499999999997
29,0.9822778827977284
30,0.9781427221171992
31,0.8796077504725871
32,0.7939508506616234
33,0.823487712665404
34,0.9233223062381825
35,0.958766540642719
36,0.9233223062381825
37,0.9410444234404508
38,0.8707466918714529
39,0.8412098298676723
40,0.9469517958412068
41,0.9351370510396946
42,0.9504962192816604
43,0.9564035916824166
44,0.6143667296786374
45,0.9823960302457436
46,0.9351370510396946
47,0.7254253308128524
48,0.9439981096408288
49,0.9002835538752335
50,0.9262759924385604
51,0.8943761814744774
52,0.9351370510396946
53,0.9357277882797702
54,0.9682183364839289
55,0.7348771266540622
56,0.9469517958412068
57,0.8884688090737213
58,0.926866729678636
59,0.9469517958412068
60,0.9787334593572748
61,0.9564035916824166
62,0.905600189035914
63,0.9469517958412068
64,0.9504962192816604
65,0.9292296786389384
66,0.9410444234404508
67,0.8471172022684285
68,0.9528591682419628
69,0.9262759924385604
70,0.9262759924385604
71,0.8589319470699407
72,0.9321833648393164
73,0.9469517958412068
74,0.9203686200378044
75,0.9386814744801484
76,0.9304111531190896
77,0.9380907372400726
78,0.9014650283553848
79,0.8376654064272187
80,0.2445652173913043
81,0.9073724007561408
82,0.92095935727788
83,0.9623109640831728
84,0.8973298676748555
85,0.918005671077502
86,0.9380907372400726
87,0.9763705103969724
88,0.9292296786389384
89,0.9546313799621898
90,0.9144612476370482
91,0.908553875236292
92,0.9380907372400726
93,0.9410444234404508
94,0.9881852551984844
95,0.9504962192816604
96,0.9881852551984844
97,0.9528591682419628
98,0.9410444234404508
99,0.8057655954631356
100,0.9410444234404508
101,0.9469517958412068
102,0.9881852551984844
103,0.9262759924385604
104,0.9469517958412068
105,0.9669187145557624
106,0.754962192816633
107,0.4548676748582222
108,0.9410444234404508
109,0.9940926275992408
110,0.9469517958412068
111,0.9528591682419628
112,0.9091446124763676
113,0.9174149338374262
114,0.94517958412098
115,0.9327741020793922
116,0.8471172022684285
117,0.7431474480151208
118,0.9292296786389384
119,0.9881852551984844
120,0.9564035916824166
121,0.7159735349716426
122,0.9469517958412068
123,0.754962192816633
124,0.9682183364839289
125,0.951086956521736
126,0.9262759924385604
