Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.537603367769484e-31,28569,31431,0
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.0015785484205704,29613,30387,0
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.1309111278962907,30185,29815,1
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,3.0773367969767872e-24,28756,31244,0
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,1.0,30000,30000,1
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.2145781167288389,30152,29848,1
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.7011612349143793,29953,30047,1
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.000474763169736,29572,30428,0
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.00056976027172,30422,29578,0
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0025191028453422,29630,30370,0
10,362.2952834896347,239.40310009159612,0.0151,0.01,0.0202,0.0001022018257282,0.0412268333371637,30250,29750,1
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.8831561854490166,29982,30018,1
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,9.268262788341055e-06,29457,30543,0
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,5.0318467222795654e-09,29284,30716,0
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.8382564863858263,30025,29975,1
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.3519538725556064,29886,30114,1
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.0311187442826544,30264,29736,1
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,2.6536490635188475e-23,31218,28782,0
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.0010597985377088,30401,29599,0
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,3.069453744370104e-13,30893,29107,0
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.1024704348597494,29800,30200,1
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.0263597202549015,29728,30272,1
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.1416446902951368,29820,30180,1
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.4476481067846692,30093,29907,1
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.0,24722,35278,0
25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.6711441715341957,29948,30052,1
26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,2.880338667752217e-23,28783,31217,0
27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,9.728543248055144e-08,30653,29347,0
28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,1.654253573898287e-75,27748,32252,0
29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.9414204249274506,30009,29991,1
30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.5136291133931241,30080,29920,1
31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.246282932236979,29858,30142,1
32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.0009436448512078,30405,29595,0
33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,2.3677239024585056e-44,31711,28289,0
34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0957825432836284,30204,29796,1
35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,0.0001727305029681,29540,30460,0
36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.0864107329737,29790,30210,1
37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.3113201889635704,29876,30124,1
38,180.60578533865095,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,0.0002385634540287,30450,29550,0
39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,3.5344617998507174e-53,28120,31880,0
40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.0011890601080095,29603,30397,0
41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.3191890116988928,30122,29878,1
42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.0072253863565208,29671,30329,0
43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,1.882059442439565e-05,29476,30524,0
44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.1701524086918297,30168,29832,1
45,175.0572866534028,26.943689894687424,0.0504999999999999,0.04,0.061,0.000489863171324,3.680523424694995e-16,29002,30998,0
46,302.2657362102225,181.2055747783264,0.0247,0.0394,0.01,0.0004839145008253,6.998453304611736e-05,30487,29513,0
47,128.65172030773795,116.28837036719212,0.0113999999999999,0.0118,0.011,0.0002492082350824,3.744424884453589e-09,30722,29278,0
48,211.96764523375836,83.43121491310072,0.0157,0.015,0.0164,0.0002088411588674,0.3074341659273953,29875,30125,1
49,368.45746620419743,58.91577968992095,0.0088,0.0086,0.009,0.0002395226980741,3.341279112702039e-07,30625,29375,0
50,323.15601260175265,40.52824889729639,0.0142999999999999,0.0146,0.014,0.0003802472579601,5.591861289081403e-26,31291,28709,0
51,266.97764859603586,263.9818411346945,0.0185999999999999,0.0282,0.009,0.0004440670652592,1.0904009282241864e-28,31361,28639,0
52,133.03833632753395,124.86643338054108,0.0155999999999999,0.0142,0.017,0.0002321239600403,9.469379673995022e-25,28742,31258,0
53,98.69109651084143,192.79688703800105,0.1247,0.1752,0.0742,0.0016294278843945,0.0,34806,25194,0
54,246.30607705839176,115.96313056693208,0.0154999999999999,0.0146,0.0164,0.0003097778407972,0.0002098163135752,30454,29546,0
55,242.89624900693187,117.34509831481432,0.0108,0.0134,0.0082,0.000264318513348,0.0864107329737,30210,29790,1
56,287.32106882090744,146.52395276996384,0.0158,0.0132,0.0184,0.0001804942543718,6.374561515827168e-10,30757,29243,0
57,280.2454271935827,150.9200955507388,0.0127,0.0152,0.0102,0.0001999176383937,1.8960734767480786e-07,30638,29362,0
58,214.5007493614629,150.06774862153546,0.0255999999999999,0.0092,0.042,0.0002509425797829,3.356815883095894e-05,29492,30508,0
59,210.75755658947725,43.31884305721529,0.0121,0.0116,0.0126,0.0002776597659061,0.5031592380810451,30082,29918,1
60,261.07982639603154,95.42019272118688,0.0201,0.0234,0.0168,0.0005305988134526,8.884941911456711e-05,29520,30480,0
61,205.78839228257743,111.44090532628384,0.0182999999999999,0.0196,0.017,0.0006863743996065,0.013670013413086,30302,29698,1
62,240.30397129023183,207.0352305549752,0.013,0.0102,0.0158,0.0001962922331499,0.8638587133317861,29979,30021,1
63,204.84229918215763,152.39624448234548,0.0128,0.0124,0.0132,0.000277530381932,0.0001328017415604,29532,30468,0
