Qubit,p_i
0,0.8648393194706968
1,0.9682183364839289
2,0.9763705103969724
3,0.9050094517958384
4,0.9881852551984844
5,0.9881852551984844
6,0.9763705103969724
7,0.9386814744801484
8,0.9504962192816604
9,0.9593572778827948
10,0.9881852551984844
11,0.9822778827977284
12,0.929820415879014
13,0.9144612476370482
14,0.9763705103969724
15,0.9940926275992408
16,0.9940926275992408
17,0.8530245746691846
18,0.9504962192816604
19,0.9327741020793922
20,0.9763705103969724
21,0.9775519848771236
22,0.9940926275992408
23,0.9822778827977284
24,0.4903119092627589
25,0.9846408317580309
26,0.8524338374291089
27,0.929820415879014
28,0.7703213610585989
29,0.9999999999999968
30,0.9940926275992408
31,0.9692816635160648
32,0.9327741020793922
33,0.8707466918714529
34,0.9704631379962162
35,0.9321833648393164
36,0.9881852551984844
37,0.9940926275992408
38,0.9445888468809044
39,0.8116729678638918
40,0.9445888468809044
41,0.9834593572778796
42,0.9764886578449874
43,0.9528591682419628
44,0.9940926275992408
45,0.9321833648393164
46,0.9445888468809044
47,0.9351370510396946
48,0.9763705103969724
49,0.9351370510396946
50,0.923913043478258
51,0.8648393194706968
52,0.8778355387523602
53,0.4903119092627589
54,0.9564035916824166
55,0.990548204158787
56,0.9469517958412068
57,0.9233223062381825
58,0.9528591682419628
59,0.9940926275992408
60,0.9564035916824166
61,0.9781427221171992
62,0.9999999999999968
63,0.9504962192816604
64,0.9999999999999968
65,0.9940926275992408
66,0.9728260869565186
67,0.823487712665404
68,0.9469517958412068
69,0.990548204158787
70,0.902646502835536
71,0.9846408317580309
72,0.908553875236292
73,0.9940926275992408
74,0.9822778827977284
75,0.923913043478258
76,0.9262759924385604
77,0.9292296786389384
78,0.919187145557653
79,0.9846408317580309
80,0.9416351606805264
81,0.9380907372400726
82,0.9504962192816604
83,0.9881852551984844
84,0.9999999999999968
85,0.9469517958412068
86,0.9899574669187112
87,0.9061909262759896
88,0.9723534971644582
89,0.8849243856332676
90,0.9705812854442312
91,0.9881852551984844
92,0.9999999999999968
93,0.9469517958412068
94,0.9564035916824166
95,0.5482041587901689
96,0.958766540642719
97,0.9940926275992408
98,0.9623109640831728
99,0.908553875236292
100,0.9623109640831728
101,0.8677930056710749
102,0.8884688090737213
103,0.9881852551984844
104,0.9528591682419628
105,0.9999999999999968
106,0.9469517958412068
107,0.9822778827977284
108,0.9528591682419628
109,0.9469517958412068
110,0.9564035916824166
111,0.9822778827977284
112,0.7963137996219258
113,0.9999999999999968
114,0.9881852551984844
115,0.9380907372400726
116,0.9881852551984844
117,0.8825614366729652
118,0.9445888468809044
119,0.9787334593572748
120,0.8707466918714529
121,0.9999999999999968
122,0.9445888468809044
123,0.8412098298676723
124,0.9840500945179552
125,0.9999999999999968
126,0.9940926275992408
