"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","232.31926033986934","323.0582975949717","4.655635272447966","-0.3110632460863657","0.005126953125","0.00634765625","0.00390625","1244.4444444444443","0.00019917767651141702","0","0.00019917767651141702","0.00019917767651141702","0_14:0.005632357041127356;0_1:0.007984841153230726","0_14:561.7777777777777;0_1:561.7777777777777","true"
"1","521.0552804202151","130.86193138748442","4.5349600609448295","-0.31302980539784336","0.015869140625","0.01123046875","0.0205078125","1244.4444444444443","0.00019053803989403526","0","0.00019053803989403526","0.00019053803989403526","1_2:0.0072497966927992374","1_2:561.7777777777777","true"
"2","272.73794752613907","142.77383610540738","4.680131009856867","-0.3092563684570482","0.01171875","0.009765625","0.013671875","1244.4444444444443","0.00013190762689307018","0","0.00013190762689307018","0.00013190762689307018","2_3:0.005792924911514008","2_3:583.1111111111111","true"
"3","249.63594857402217","142.13468228326232","4.606646979039873","-0.25135835423971303","0.00634765625","0.0048828125","0.0078125","1244.4444444444443","0.00009249957502048963","0","0.00009249957502048963","0.00009249957502048963","","","true"
"4","541.8192633031138","227.85974291043976","4.462321218561688","-0.25507850560311957","0.084716796875","0.06982421875","0.099609375","1244.4444444444443","0.0005581641294551435","0","0.0005581641294551435","0.0005581641294551435","4_15:0.012131965934523647;4_3:0.007145187082173821","4_15:583.1111111111111;4_3:561.7777777777777","true"
"5","438.15356415087024","442.81284248188086","4.42668270528158","-0.2804432142711162","0.016357421875","0.0244140625","0.00830078125","1244.4444444444443","0.00017550014416228507","0","0.00017550014416228507","0.00017550014416228507","5_4:0.0061568719360703406","5_4:561.7777777777777","true"
"6","372.89584789278797","185.4006400646429","4.64008281369921","-0.3108103399516748","0.0126953125","0.0087890625","0.0166015625","1244.4444444444443","0.00009255199820973971","0","0.00009255199820973971","0.00009255199820973971","6_5:0.004384311835444854","6_5:583.1111111111111","true"
"7","410.7681347984127","363.2063834652582","4.475705728229978","-0.2813271220492828","0.005126953125","0.00390625","0.00634765625","1244.4444444444443","0.00009831439234421045","0","0.00009831439234421045","0.00009831439234421045","7_6:0.01372045172817693;7_8:0.12088011515655644","7_6:561.7777777777777;7_8:561.7777777777777","true"
"8","423.20033408167046","316.26113499159607","4.401861321822477","-0.25507427876459826","0.15283203125","0.263671875","0.0419921875","1244.4444444444443","0.05751896732145505","0","0.05751896732145505","0.05751896732145505","8_9:0.03297314977095922","8_9:561.7777777777777","true"
"9","454.1564258582864","376.3262951626362","4.519007019080786","-0.29730654926594685","0.01416015625","0.017578125","0.0107421875","1244.4444444444443","0.00014162302569287698","0","0.00014162302569287698","0.00014162302569287698","","","true"
