Qubit,T1 (us),Frequency (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,ID error ,One
0,315.13262910706214,4.6556334908540125,0.00390625,0.00390625,0.00390625,0.0001427807462464,95
1,460.1636735756638,4.534947625259798,0.015380859375,0.0107421875,0.02001953125,0.0001318483957207,316
2,328.92362686792785,4.680123547193055,0.024169921875,0.03662109375,0.01171875,0.0027770340502582,178
3,446.06267676204754,4.606650074956836,0.00830078125,0.00732421875,0.00927734375,0.0001005830218433,78
4,593.8604217947434,4.462329729772821,0.073486328125,0.06640625,0.08056640625,0.0005014451876868,1601
5,306.47757023894246,4.426689596496758,0.0068359375,0.00537109375,0.00830078125,0.0001623479688896,85
6,485.2294072708144,4.6400893056381145,0.01220703125,0.0068359375,0.017578125,0.0002079930747876,213
7,547.4359360850817,4.475709507973484,0.0107421875,0.00439453125,0.01708984375,8.75158278388e-05,57
8,423.20033408167046,4.401858722520284,0.1513671875,0.25732421875,0.04541015625,0.0011503405098807,827
9,431.940381131216,4.519006667208444,0.017822265625,0.02099609375,0.0146484375,0.00014434528731,361
10,164.05805849831512,4.628362508956691,0.008544921875,0.00830078125,0.0087890625,0.0004191205866117,173
11,215.9338933845026,4.571520714286284,0.00439453125,0.0068359375,0.001953125,0.0002473067913095,56
12,440.01931565713846,4.464329188915567,0.0302734375,0.0390625,0.021484375,0.0003405620417121,398
13,303.0614721997987,4.573359984429303,0.028076171875,0.02099609375,0.03515625,0.0001799356184514,675
14,212.4006971478689,4.603985426499158,0.00634765625,0.009765625,0.0029296875,0.000111400866082,28
15,380.5148007759491,4.496012252058196,0.03369140625,0.02001953125,0.04736328125,0.0003661805188041,517
16,294.16928508439673,4.513219617796267,0.029296875,0.0244140625,0.0341796875,0.0002489385529692,519
17,289.94348907196456,4.675780582840112,0.10400390625,0.08740234375,0.12060546875,0.0006154649326232,2367
18,403.5188158783505,4.514799001479148,0.002685546875,0.00390625,0.00146484375,0.0001927503701255,64
19,519.432347933256,4.444142419576032,0.031982421875,0.02880859375,0.03515625,0.000112721139308,731
20,258.122831339152,4.341315697311472,0.04736328125,0.044921875,0.0498046875,0.0005249551518914,862
21,347.75944317679006,4.48518909498336,0.010986328125,0.0087890625,0.01318359375,0.0002694033791526,206
22,412.4208187944824,4.382945091714771,0.01611328125,0.013671875,0.0185546875,0.0001445137524406,340
23,159.48136834324828,4.53175514496051,0.02197265625,0.0322265625,0.01171875,0.0028245614327953,370
24,240.95936151549932,4.646173338884271,0.02294921875,0.02490234375,0.02099609375,0.0004631621923453,438
25,240.2290028269276,4.702185068980259,0.00732421875,0.005859375,0.0087890625,0.0001485148323031,241
26,229.03548934865907,4.648802369367042,0.013427734375,0.01611328125,0.0107421875,0.0004799974741203,243
