Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,One_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.2761783860351406,10077,9923,1,154,9900,529
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.1197949304259183,10110,9890,1,220,9905,225
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.023651616655356,10160,9840,1,320,9876,1296
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.1375638939099033,9895,10105,1,210,9987,13924
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.1491619822990579,10102,9898,1,204,9894,16
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0211571603264298,9837,10163,1,326,9949,45796
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.8320040285726364,10015,9985,1,30,9903,6724
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0003462860151351,10253,9747,0,506,9947,40000
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,3.9919157769141815e-11,10467,9533,0,934,9774,58081
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,7.658618933024527e-12,9516,10484,0,968,10079,164025
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0254529906573031,10158,9842,1,316,9968,15876
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.6713732405408726,10030,9970,1,60,9788,33124
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,0.0002111910557762,10262,9738,0,524,9693,2025
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.4535359030648584,9947,10053,1,106,9979,5476
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.1657684956597921,10098,9902,1,196,9944,1764
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.000178487752024,10265,9735,0,530,10181,198916
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,1.6346737338997198e-10,10452,9548,0,904,7436,4460544
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,7.430983723414151e-07,10350,9650,0,700,9668,324
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.2081567531855047,10089,9911,1,178,9863,2304
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,3.7554230748998e-06,10327,9673,0,654,9699,676
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.9099218741589818,10008,9992,1,16,9930,3844
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.2888443663464849,9925,10075,1,150,9904,29241
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.3153344497825558,10071,9929,1,142,9931,4
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,0.0001197385134746,10272,9728,0,544,9905,31329
24,12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,2.666624872524396e-05,9703,10297,0,594,9957,115600
25,12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,0.0003106603426391,9745,10255,0,510,9963,85264
26,13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.3085668768612489,10072,9928,1,144,9769,25281
27,13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.8987194060853732,9991,10009,1,18,9965,1936
28,14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.2348572885450054,10084,9916,1,168,9902,196
29,14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.2185601545094493,10087,9913,1,174,9898,225
30,15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.0417034303994352,10144,9856,1,288,10084,51984
31,15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.4707563801588296,9949,10051,1,102,9788,69169
32,16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,4.129599471333769e-07,10358,9642,0,716,9738,9216
33,16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.0870444920273306,9879,10121,1,242,10038,6889
34,17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.3654141708778586,10064,9936,1,128,9800,18496
35,17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.1069176723701433,9886,10114,1,228,10088,676
36,18,253.64926408586183,46.74275835758955,0.004,0.0056,0.0024,0.0001865333712593,0.1614919304446302,10099,9901,1,198,9900,1
37,18,433.1155608043481,49.28161580992735,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,0.0211571603264298,10163,9837,1,326,9874,1369
38,19,333.4311638524518,214.7167540188217,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,4.932703031438923e-05,9713,10287,0,574,9921,133956
39,19,377.9497975617496,248.63158659548463,0.0249,0.0328,0.017,0.0002305068238674,0.0001505912879944,10268,9732,0,536,9782,2500
40,20,499.33639789182257,482.8878544435456,0.038,0.0656,0.0104,0.0001311830987886,1.0213251678575914e-20,10660,9340,0,1320,9464,15376
41,20,339.0853438381704,375.1828995075223,0.03759765625,0.0380859375,0.037109375,0.0001372428937304,4.926119054371691e-06,9677,10323,0,646,9887,190096
42,21,245.21169798908497,184.49806855661336,0.0181,0.015,0.0212,0.0010471091820151,0.6508740052044173,10032,9968,1,64,9951,289
43,21,460.1333054724943,200.501943565756,0.013427734375,0.01025390625,0.0166015625,0.0001612039165746,0.5062549491139179,10047,9953,1,94,9966,169
44,22,278.23988086421,193.66022799336963,0.0137,0.0194,0.008,0.0004911670884429,0.0002636004298371,10258,9742,0,516,9824,6724
45,22,357.88071469841464,77.1937803857095,0.01708984375,0.01318359375,0.02099609375,0.0014673078659458,8.96956555326501e-06,9686,10314,0,628,9960,125316
46,23,368.0803094625602,204.066024814404,0.0244999999999999,0.0292,0.0198,0.0001038686399743,7.958185250532795e-05,10279,9721,0,558,9834,12769
47,23,366.3085538123374,224.2832264052,0.019287109375,0.025390625,0.01318359375,8.93210573995e-05,0.5062549491139179,10047,9953,1,94,9817,18496
48,24,285.1667977138692,63.84447589504281,0.0214999999999999,0.038,0.005,0.0005389203724846,9.577950825414671e-06,10313,9687,0,626,9648,1521
49,24,279.97420964851904,64.22718195242905,0.03515625,0.03662109375,0.03369140625,0.0005624431509975,0.692119931970966,10028,9972,1,56,9870,10404
50,25,233.1146118369276,270.27334464098,0.008056640625,0.0078125,0.00830078125,0.0001205871463051,0.0461475606402945,10141,9859,1,282,9926,4489
