Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
0,0,237.363640207058,60.47969240018557,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,2.357861867801558e-10,29224,30776,0,1552,1526,676
1,0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.537603367769484e-31,28569,31431,0,2862,2430,186624
2,1,158.45256790461264,306.6382369930084,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,1.5286075931341484e-08,29307,30693,0,1386,1232,23716
3,1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.0015785484205704,29613,30387,0,774,2601,3337929
4,2,227.8750927230388,267.9119653614913,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,0.0011890601080095,29603,30397,0,794,1020,51076
5,2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.1309111278962907,30185,29815,1,370,762,153664
6,3,366.2675928480455,391.6436882299018,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,2.055005147476426e-40,28370,31630,0,3260,1234,4104676
7,3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,3.0773367969767872e-24,28756,31244,0,2488,1544,891136
8,4,172.24369977361226,171.70368343098505,0.015625,0.0126953125,0.0185546875,0.0001072341151506,0.0412268333371637,29750,30250,1,500,965,216225
9,4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,1.0,30000,30000,1,0,1716,2944656
10,5,225.67540407570323,220.38074977243463,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,0.3957942459142299,30104,29896,1,208,767,312481
11,5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.2145781167288389,30152,29848,1,304,776,222784
12,6,223.59246244380788,83.15010574387493,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,0.9154676606038382,29987,30013,1,26,1117,1190281
13,6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.7011612349143793,29953,30047,1,94,806,506944
14,7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.000474763169736,29572,30428,0,856,1212,126736
15,7,305.1706883653607,263.1396460704861,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,7.068422414432333e-10,29245,30755,0,1510,844,443556
16,8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.00056976027172,30422,29578,0,844,1052,43264
17,8,326.53473998060616,243.50256007339945,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,0.3823081571552292,30107,29893,1,214,852,407044
18,9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0025191028453422,29630,30370,0,740,671,4761
19,9,406.53941390709633,173.71557353229463,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,4.684202866901967e-13,29114,30886,0,1772,775,994009
20,10,362.2952834896347,239.4031000915961,0.0151,0.01,0.0202,0.0001022018257282,0.0412268333371637,30250,29750,1,500,973,223729
21,10,170.16594938485383,222.03664718935835,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,2.365991577161564e-06,29422,30578,0,1156,1161,25
22,11,205.7224190331731,434.74928590199846,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,2.000857690475852e-14,29063,30937,0,1874,5345,12047841
23,11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.8831561854490166,29982,30018,1,36,4901,23668225
24,12,338.3716887812377,164.3107462057929,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,0.3074341659273953,29875,30125,1,250,1060,656100
25,12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,9.268262788341055e-06,29457,30543,0,1086,968,13924
26,13,252.9946090284145,61.5982989786162,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,0.0974208410313762,29797,30203,1,406,1394,976144
27,13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,5.0318467222795654e-09,29284,30716,0,1432,1174,66564
28,14,276.9729936703178,122.9701473505566,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,2.4200331498815053e-14,30934,29066,0,1868,1041,683929
29,14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.8382564863858263,30025,29975,1,50,1004,910116
30,15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.3519538725556064,29886,30114,1,228,920,478864
31,15,304.941767605406,42.92847532995483,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,0.0003595929165326,29563,30437,0,874,958,7056
32,16,252.38336309162125,16.372709835707646,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,1.867677067913164e-16,28992,31008,0,2016,1109,822649
33,16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.0311187442826544,30264,29736,1,528,1055,277729
