		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 25.375000	M = 13000	N = 8	m = 9	n = 104000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   28   33   25   19   21   28   29   25  5.911989 0.657090 SUCCESS   0
000000011   25   36   21   23   30   25   26   31  7.796085 0.453639 SUCCESS   1
000000101   25   37   28   29   28   30   24   28  7.836822 0.449570 SUCCESS   2
000000111   25   32   25   14   29   25   21   29  8.926543 0.348531 SUCCESS   3
000001001   26   25   33   27   23   27   24   22  3.376097 0.908590 SUCCESS   4
000001011   31   24   26   24   31   28   26   30  3.915865 0.864633 SUCCESS   5
000001101   27   30   23   39   26   36   32   31 16.462928 0.036214 SUCCESS   6
000001111   22   26   31   22   26   19   23   30  5.005586 0.756979 SUCCESS   7
000010001   27   28   29   28   24   20   16   27  6.146228 0.630856 SUCCESS   8
000010011   30   29   34   29   28   25   25   21  6.044385 0.642260 SUCCESS   9
000010101   26   39   14   18   28   27   33   28 18.102601 0.020470 SUCCESS  10
000010111   21   27   26   33   28   22   29   26  4.567661 0.802626 SUCCESS  11
000011001   22   24   20   32   24   28   29   25  4.404712 0.818889 SUCCESS  12
000011011   20   22   24   33   29   34   30   33 10.892114 0.207887 SUCCESS  13
000011101   21   27   22   17   24   21   28   26  5.362036 0.718273 SUCCESS  14
000011111   30   24   30   28   19   20   26   25  4.954664 0.762411 SUCCESS  15
000100011   24   27   26   27   23   18   28   31  4.323237 0.826846 SUCCESS  16
000100101   25   26   21   25   22   25   25   26  1.298499 0.995570 SUCCESS  17
000100111   29   21   28   19   27   28   26   19  5.311115 0.723865 SUCCESS  18
000101001   26   28   26   34   27   25   24   25  3.539046 0.896138 SUCCESS  19
000101011   30   34   21   18   30   35   21   22 12.786394 0.119414 SUCCESS  20
000101101   23   24   33   29   26   28   22   21  4.750978 0.783830 SUCCESS  21
000101111   21   24   27   34   27   23   26   28  4.628766 0.796416 SUCCESS  22
000110011   21   27   25   27   26   30   22   23  2.581721 0.957811 SUCCESS  23
000110101   23   33   32   24   29   22   23   35  9.466311 0.304497 SUCCESS  24
000110111   21   17   24   28   19   24   24   28  6.085122 0.637697 SUCCESS  25
000111001   17   24   27   28   24   26   25   24  3.498309 0.899321 SUCCESS  26
000111011   20   24   22   18   26   26   26   20  5.158350 0.740525 SUCCESS  27
000111101   31   22   25   19   36   22   28   25  8.763594 0.362630 SUCCESS  28
000111111   29   32   26   28   22   22   20   19  6.380467 0.604695 SUCCESS  29
001000011   28   26   19   23   21   12   21   24 11.105984 0.195766 SUCCESS  30
001000101   24   18   32   30   28   22   17   19 10.209765 0.250611 SUCCESS  31
001000111   19   29   23   30   25   19   26   28  5.250009 0.730551 SUCCESS  32
001001011   25   21   22   29   34   26   22   33  7.663689 0.466992 SUCCESS  33
001001101   18   30   29   23   29   22   23   26  5.097244 0.747134 SUCCESS  34
001001111   32   24   19   21   16   32   25   20 10.851377 0.210263 SUCCESS  35
001010011   31   34   25   32   26   25   28   24  6.492494 0.592240 SUCCESS  36
001010101   27   20   20   23   24   17   28   28  6.186965 0.626298 SUCCESS  37
001010111   23   31   28   19   27   38   22   19 12.175336 0.143551 SUCCESS  38
001011011   33   20   27   23   25   26   22   27  4.476002 0.811829 SUCCESS  39
001011101   27   19   29   25   28   31   31   29  5.698118 0.681005 SUCCESS  40
001011111   23   19   23   33   24   27   18   32  8.671935 0.370722 SUCCESS  41
001100101   25   26   24   28   29   38   24   26  7.500740 0.483691 SUCCESS  42
001100111   23   26   21   26   25   24   18   25  3.345544 0.910841 SUCCESS  43
001101011   17   25   24   21   31   24   25   30  5.962910 0.651387 SUCCESS  44
001101101   21   32   26   25   25   25   28   18  5.097244 0.747134 SUCCESS  45
001101111   25   25   19   25   18   25   27   24  4.078814 0.849943 SUCCESS  46
001110101   19   28   28   17   25   30   25   32  7.745164 0.458751 SUCCESS  47
001110111   27   23   21   31   33   23   22   22  5.932357 0.654809 SUCCESS  48
001111011   29   18   22   20   28   22   20   22  6.777655 0.560801 SUCCESS  49
001111101   28   15   33   26   23   18   26   30 10.382899 0.239173 SUCCESS  50
001111111   31   31   27   30   25   23   25   28  4.078814 0.849943 SUCCESS  51
010000011   20   25   27   28   24   28   35   29  6.237887 0.620604 SUCCESS  52
010000111   26   25   22   21   15   18   22   24  8.407143 0.394742 SUCCESS  53
010001011   23   18   33   28   25   24   24   21  6.034200 0.643401 SUCCESS  54
010001111   25   31   28   28   22   21   22   17  6.421204 0.600160 SUCCESS  55
010010011   28   26   27   32   20   29   33   35 10.046816 0.261755 SUCCESS  56
010010111   24   22   24   31   23   22   26   34  5.647197 0.686683 SUCCESS  57
010011011   22   39   25   24   26   29   23   29  9.425574 0.307676 SUCCESS  58
010011111   29   20   20   27   22   26   28   23  3.987155 0.858280 SUCCESS  59
010100011   25   13   24   30   17   29   32   22 12.837316 0.117571 SUCCESS  60
010100111   31   22   31   36   28   21   19   30 11.228196 0.189102 SUCCESS  61
010101011   26   22   21   30   21   19   27   27  4.781531 0.780651 SUCCESS  62
010101111   25   35   22   24   25   31   26   21  6.411020 0.601293 SUCCESS  63
010110011   23   11   29   27   19   26   23   22 11.655937 0.167228 SUCCESS  64
010110111   25   23   26   24   38   25   17   24  9.761656 0.282155 SUCCESS  65
010111011   23   22   28   20   24   33   25   19  6.258255 0.618328 SUCCESS  66
010111111   27   25   36   30   29   29   20   29  8.366406 0.398521 SUCCESS  67
011000111   26   26   25   21   31   25   34   30  6.013832 0.645682 SUCCESS  68
011001111   27   23   23   24   25   26   23   25  0.901311 0.998798 SUCCESS  69
011010111   20   31   31   19   39   28   22   26 13.733535 0.088981 SUCCESS  70
011011111   18   24   23   22   31   28   29   26  5.107429 0.746035 SUCCESS  71
011101111   20   21   21   29   33   30   23   20  7.918297 0.441492 SUCCESS  72
011111111   33   24   31   26   30   32   20   26  7.602583 0.473221 SUCCESS  73
100000000   28   33   25   19   21   28   29   25  5.911989 0.657090 SUCCESS  74
100010000   40   26   26   24   20   29   19   22 12.653998 0.124322 SUCCESS  75
100100000   23   27   27   36   22   23   34   31 10.057001 0.261048 SUCCESS  76
100101000   28   26   20   30   21   22   28   21  4.649135 0.794334 SUCCESS  77
100110000   22   28   27   28   21   16   29   26  6.044385 0.642260 SUCCESS  78
100111000   28   22   33   28   25   28   22   37  9.649629 0.290483 SUCCESS  79
101000000   20   31   21   30   20   29   25   26  5.850883 0.663931 SUCCESS  80
101000100   39   27   25   30   27   22   30   24 10.067185 0.260342 SUCCESS  81
101001000   27   28   20   25   22   22   21   25  3.284438 0.915261 SUCCESS  82
101001100   22   31   17   14   25   15   18   27 16.595324 0.034610 SUCCESS  83
101010000   21   19   25   26   23   27   35   27  6.675812 0.571979 SUCCESS  84
101010100   32   21   31   26   27   24   25   23  4.292684 0.829798 SUCCESS  85
101011000   29   24   23   27   27   21   15   22  6.685996 0.570859 SUCCESS  86
101011100   28   23   24   30   25   28   18   29  4.496370 0.809796 SUCCESS  87
101100000   35   32   20   21   40   26   25   31 17.542465 0.024931 SUCCESS  88
101100100   28   24   26   23   25   24   26   34  3.732548 0.880412 SUCCESS  89
101101000   23   36   26   22   25   31   28   24  6.960972 0.540849 SUCCESS  90
101101100   25   27   31   30   35   28   28   24  6.685996 0.570859 SUCCESS  91
101110000   22   24   26   30   25   26   23   26  1.695687 0.988963 SUCCESS  92
101110100   24   27   29   26   23   27   30   31  3.233517 0.918860 SUCCESS  93
101111000   19   17   35   23   17   25   26   25 11.401329 0.179979 SUCCESS  94
101111100   26   25   16   19   25   27   31   32  8.447881 0.390986 SUCCESS  95
110000000   23   35   26   26   32   26   29   35 10.148660 0.254747 SUCCESS  96
110000010   21   27   30   26   34   24   23   32  6.899866 0.547474 SUCCESS  97
110000100   30   25   32   23   27   18   21   27  6.105491 0.635417 SUCCESS  98
110001000   33   20   28   24   28   30   21   25  5.840699 0.665071 SUCCESS  99
110001010   23   21   20   24   30   35   19   22  9.028386 0.339907 SUCCESS 100
110010000   21   23   24   32   23   23   28   31  4.903743 0.767813 SUCCESS 101
110010010   26   20   35   20   28   21   18   27  9.527417 0.299772 SUCCESS 102
110010100   24   35   16   35   24   25   30   22 12.623446 0.125479 SUCCESS 103
110011000   21   26   31   21   24   22   26   31  4.710241 0.788049 SUCCESS 104
110011010   27   13   26   22   24   27   33   31 10.668059 0.221226 SUCCESS 105
110100000   21   31   19   27   19   26   23   23  5.962910 0.651387 SUCCESS 106
110100010   31   25   27   29   25   21   28   24  3.080752 0.929188 SUCCESS 107
110100100   33   25   26   30   25   30   31   29  5.962910 0.651387 SUCCESS 108
110101000   25   15   25   21   24   28   36   35 13.906668 0.084231 SUCCESS 109
110101010   31   23   32   33   24   26   24   22  6.309177 0.612642 SUCCESS 110
110101100   22   23   24   27   28   26   25   23  1.410526 0.994096 SUCCESS 111
110110000   26   28   20   25   25   32   32   32  6.848945 0.553015 SUCCESS 112
110110010   21   16   29   27   19   27   24   32  8.631198 0.374356 SUCCESS 113
110110100   31   27   29   17   24   32   23   25  6.889682 0.548581 SUCCESS 114
110111000   16   27   20   24   34   28   26   16 11.849438 0.158049 SUCCESS 115
110111010   22   27   24   29   26   23   27   27  1.644765 0.990035 SUCCESS 116
110111100   20   26   32   19   22   26   28   25  5.402774 0.713786 SUCCESS 117
111000000   24   25   29   24   32   24   26   27  2.683564 0.952621 SUCCESS 118
111000010   24   31   29   25   27   23   31   24  3.610336 0.890460 SUCCESS 119
111000100   31   22   27   30   26   33   25   19  6.777655 0.560801 SUCCESS 120
111000110   21   25   18   17   14   23   25   22 11.829070 0.158995 SUCCESS 121
111001000   19   30   21   32   13   23   24   24 11.717042 0.164282 SUCCESS 122
111001010   24   30   19   35   21   19   26   22  9.293178 0.318171 SUCCESS 123
111001100   19   26   26   21   22   18   31   36 11.034694 0.199741 SUCCESS 124
111010000   22   23   25   26   20   18   25   25  4.119551 0.846179 SUCCESS 125
111010010   40   29   24   27   23   29   30   31 12.358654 0.135905 SUCCESS 126
111010100   13   21   26   22   27   27   25   31  9.008017 0.341620 SUCCESS 127
111010110   23   29   23   28   41   31   20   25 13.692798 0.090132 SUCCESS 128
111011000   23   28   19   26   23   39   27   30 10.953220 0.204364 SUCCESS 129
111011010   28   27   23   25   26   26   25   15  5.046323 0.752614 SUCCESS 130
111011100   31   27   20   19   33   25   25   16 10.189397 0.251984 SUCCESS 131
111100000   20   29   30   24   33   27   29   27  5.779593 0.671905 SUCCESS 132
111100010   28   22   29   27   26   27   32   20  4.476002 0.811829 SUCCESS 133
111100100   23   30   27   20   18   26   20   22  6.258255 0.618328 SUCCESS 134
