Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0089806712418988,30320,29680,0,640,0.08885291086227053,0.006379574661974079
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.0820105416336192,30213,29787,1,426,0.08601546449301875,1.6039407109741033e-05
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,1.206435163089384e-05,30536,29464,0,1072,0.08057169572956148,0.006489854207748057
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.7133031738784577,29955,30045,1,90,0.08391217134103053,0.39613303407506756
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0011890601080095,30397,29603,0,794,0.08028154341467134,0.0062556209156145815
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0012954016599891,29606,30394,0,788,0.08269901328450878,0.006626547985515634
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.3823081571552292,30107,29893,1,214,0.08078042996970776,0.09091897026166626
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0087684086017947,30321,29679,0,642,0.08204063623807158,0.005368819342782377
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,2.973477147502343e-32,31448,28552,0,2896,0.08222250201054256,0.006760539836873675
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,9.009429711644779e-30,28612,31388,0,2776,0.09731127544046311,0.00946948432784968
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.055013832353979,30235,29765,1,470,0.0912506115500221,0.0013131041665027827
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.0005527870245165,30423,29577,0,846,0.08612935770098597,0.007323349448744774
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,5.212430513980893e-06,30558,29442,0,1116,0.07523048010916722,0.005658840897325032
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.0529784062634977,30237,29763,1,474,0.08517006622142982,0.0010363029708471301
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.4774858652667186,29913,30087,1,174,0.08822017727008813,0.15152777585149005
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,2.82134106863843e-08,30680,29320,0,1360,0.09370784998079046,0.008781155860387014
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.1429988623011947e-26,31302,28698,0,2604,0.0,4.592444123824215e-52
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,2.6658455143148426e-30,31401,28599,0,2802,0.08210445032694538,0.006741140763489842
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.0195340079215622,30286,29714,1,572,0.0869506850764624,0.004545008358608044
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,3.2361004548521275e-10,30770,29230,0,1540,0.07602959776356474,0.005780499686881567
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.4624327264504763,29910,30090,1,180,0.08049711714653732,0.14587480965437113
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.0560557472418856,29766,30234,1,468,0.07899082719665358,0.0005260178925316002
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.0015785484205704,30387,29613,0,774,0.08383705667640595,0.006766462180475366
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,5.4187484152015535e-06,30557,29443,0,1114,0.08308002014129671,0.006901389396586152
24,12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.0560557472418856,29766,30234,1,468,0.08906168058713611,0.0010893916359911195
25,12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,4.3940403693750094e-12,29152,30848,0,1696,0.09052940720906377,0.008195573568828909
26,13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.624206114766406,30060,29940,1,120,0.0768722777625801,0.29957432912933063
27,13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.0529784062634977,29763,30237,1,474,0.08334398308241463,0.000922068255545545
28,14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.0519845269346612,30238,29762,1,476,0.08660986540885986,0.001198914064452822
29,14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.0454552948490585,30245,29755,1,490,0.0859959043279672,0.0016435410169213815
30,15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.00056976027172,30422,29578,0,844,0.08654479162768691,0.007391706016659495
31,15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.6299956425486466,29941,30059,1,118,0.08029825082133095,0.30216722247181393
32,16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,1.8078115827543667e-10,30781,29219,0,1562,0.0754689173685941,0.005695557461500968
33,16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.0014508616333606,29610,30390,0,780,0.08714468131394046,0.007343430731447736
34,17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.0957825432836284,30204,29796,1,408,0.08138422656220187,0.00020731152441051066
35,17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.010353340365105,29686,30314,1,628,0.09266174955225386,0.006774674222919129
