Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,P_Value,Zero,One,Quality,abs,abs_pred,RSE
0,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.000138234771828,40539,39461,0,1078,1359,78961
1,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0063443498295036,40386,39614,0,772,1364,350464
2,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.2266042258027557,39829,40171,1,342,916,329476
3,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,8.26708567784458e-09,40815,39185,0,1630,1560,4900
4,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.195663552268566,40183,39817,1,366,1135,591361
5,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0072095707647425,40380,39620,0,760,1414,427716
6,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0007631420050713,40476,39524,0,952,1081,16641
7,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,7.86174141898307e-06,40632,39368,0,1264,1392,16384
8,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,4.56221584239422e-41,38102,41898,0,3796,1157,6964321
9,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,8.886544418452132e-41,41891,38109,0,3782,3110,451584
10,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,5.150622557324871e-12,40976,39024,0,1952,2359,165649
11,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0100568435025923,40364,39636,1,728,1002,75076
12,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.3153344497825558,40142,39858,1,284,934,422500
13,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,1.5417257900280083e-08,40800,39200,0,1600,3031,2047761
14,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.0010088516329663,40465,39535,0,930,0,864900
15,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.6973436642249593,40055,39945,1,110,1083,946729
16,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,1.570660834173213e-40,41885,38115,0,3770,3576,37636
