Qubit,T1 (us),T2 (us),Frequency (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,ID error ,One
0,237.363640207058,60.47969240018557,4.721905257319033,0.033203125,0.0283203125,0.0380859375,0.0001734065740478,808
1,158.45256790461264,306.6382369930084,4.815136886686477,0.02490234375,0.01611328125,0.03369140625,7.17078124105e-05,322
2,227.8750927230388,267.9119653614913,4.609656708225,0.014892578125,0.0166015625,0.01318359375,0.0003293684085777,129
3,366.2675928480455,391.6436882299018,4.875546361672497,0.023681640625,0.00927734375,0.0380859375,0.0001072344262964,853
4,172.24369977361226,171.70368343098505,4.818169983483916,0.015625,0.0126953125,0.0185546875,0.0001072341151506,255
5,225.67540407570323,220.38074977243463,4.7341547310763685,0.009033203125,0.00537109375,0.0126953125,8.96154926666e-05,112
6,223.59246244380788,83.15010574387493,4.876291127043162,0.018798828125,0.025390625,0.01220703125,0.0002654272281749,213
7,305.1706883653607,263.1396460704861,4.967503228716928,0.009521484375,0.0087890625,0.01025390625,0.0002545484611121,193
8,326.53473998060616,243.50256007339945,4.902360994902699,0.010498046875,0.0107421875,0.01025390625,0.0001774487344584,134
9,406.53941390709633,173.71557353229463,4.987233567312411,0.008056640625,0.00732421875,0.0087890625,0.0001318647973293,107
10,170.16594938485383,222.03664718935835,4.831527244497341,0.02197265625,0.01806640625,0.02587890625,0.0001214329576312,399
11,205.7224190331731,434.74928590199846,4.9723887191418505,0.15966796875,0.15185546875,0.16748046875,0.0001759860271404,2968
12,338.3716887812377,164.3107462057929,4.936321850521629,0.017822265625,0.01123046875,0.0244140625,0.0001279350496918,317
13,252.9946090284145,61.5982989786162,5.005803758042261,0.028076171875,0.01806640625,0.0380859375,0.0002414188771671,225
14,276.9729936703178,122.9701473505566,4.903344737422966,0.0166015625,0.01220703125,0.02099609375,0.0002106852708509,264
15,304.941767605406,42.92847532995483,4.947907109315612,0.01220703125,0.01220703125,0.01220703125,0.0003592117090424,126
16,252.38336309162125,16.372709835707646,4.960332209675662,0.01806640625,0.013671875,0.0224609375,0.0002968054869654,241
17,183.08100247970776,221.53029918683947,4.820815999107069,0.017333984375,0.01171875,0.02294921875,0.0001692053775096,193
18,119.68547096349434,93.22240520103266,4.788131681391996,0.0166015625,0.01904296875,0.01416015625,0.0003159875488943,200
19,320.1397973200648,139.52284668740532,4.7470127541983,0.01513671875,0.0234375,0.0068359375,0.0002094519022097,165
20,205.8218312349316,219.76466909033044,4.862344373616834,0.0185546875,0.00927734375,0.02783203125,0.0002163763016461,391
21,250.23070936166383,134.4814964627794,4.966489178568096,0.009521484375,0.00634765625,0.0126953125,0.0001452744100939,124
22,275.8668086066445,201.19256018723257,5.038195362941405,0.02099609375,0.03369140625,0.00830078125,0.0003638582338904,120
23,337.75458633878696,183.01285187082897,4.844979209579568,0.00927734375,0.01025390625,0.00830078125,0.0001496298842987,122
24,230.8487331982512,119.6171321492539,5.10078649303592,0.12548828125,0.01416015625,0.23681640625,0.0001558721660167,5128
25,215.4356220836172,178.22225809635287,4.945225748546381,0.02099609375,0.00390625,0.0380859375,0.0001488790791938,147
26,228.94403018509547,17.493510576837703,4.854111516835544,0.030029296875,0.04736328125,0.0126953125,0.0017859892335793,171
27,326.91858935625186,227.6277868179083,4.747642528677403,0.064208984375,0.08984375,0.03857421875,0.0001470913716844,905
28,225.45173929366408,100.80527155061424,4.994404735606249,0.043212890625,0.01123046875,0.0751953125,0.0004131080085591,1554
29,330.0988703062876,295.2070706019093,4.62864352948515,0.0185546875,0.02490234375,0.01220703125,0.0001988376610223,355
30,451.54306417141504,64.82208370954781,4.732967566627754,0.009765625,0.01025390625,0.00927734375,0.0003115184437534,114
31,83.55821541336894,60.4872428282716,4.797663384807813,0.00830078125,0.00830078125,0.00830078125,0.0015168449695105,108
32,199.16315807280392,229.88400733265004,4.9103797489987215,0.015625,0.0126953125,0.0185546875,0.0001504423360221,164
33,260.99290474339494,130.71509707998823,4.973179697471859,0.019775390625,0.0087890625,0.03076171875,0.0001634929853537,153
34,317.53349157381024,146.15783933615776,4.678636143402687,0.03271484375,0.03076171875,0.03466796875,0.0001668462671431,444
35,316.3074967024734,162.78309672726076,4.907592822575734,0.015380859375,0.01123046875,0.01953125,0.0002137411655768,304
36,314.3919119961733,321.6621525939768,4.812320088271115,0.01171875,0.0107421875,0.0126953125,0.0001541707803795,158
37,218.94861274492885,115.3501760778438,4.837893596260817,0.009521484375,0.00927734375,0.009765625,0.0002041424106492,182
38,361.1224902313194,148.7370245801475,4.776679686934628,0.016845703125,0.02001953125,0.013671875,0.0001686289197716,216
39,197.5799002990383,122.65697825828302,4.917290389167841,0.0537109375,0.07666015625,0.03076171875,0.0005978562129862,624
40,148.6326259388869,27.48317491569151,4.868229793058646,0.01513671875,0.02001953125,0.01025390625,0.000303750120587,182
41,222.75931420476184,311.1431416381917,4.935537241830892,0.00732421875,0.00634765625,0.00830078125,0.0004842596519683,90
42,214.9839375095677,151.4920110662227,5.063945455635412,0.011962890625,0.01171875,0.01220703125,0.0001579255091859,152
43,331.7402607251488,128.1248826335814,4.829562622844446,0.015380859375,0.015625,0.01513671875,0.0002835212679403,158
44,308.66405778441754,19.155631444794956,4.949169491471418,0.026123046875,0.0107421875,0.04150390625,0.0002837085934998,447
45,102.98731307735318,21.88068915250893,4.999413985349006,0.060546875,0.0576171875,0.0634765625,0.0005042727290379,1190
46,290.24365676460724,250.49212523751825,4.853139378275407,0.016357421875,0.01904296875,0.013671875,0.0002822575388783,183
47,168.78483653232675,145.46043511231494,4.769546051062734,0.014404296875,0.0224609375,0.00634765625,0.0001752618252349,116
48,16.76432751632367,41.18631939038451,4.844174130977653,0.014892578125,0.01806640625,0.01171875,0.0006335960413638,253
49,351.7357301442432,58.843242286468126,4.697334178531343,0.011962890625,0.01025390625,0.013671875,0.000352306215152,133
50,320.47543079154235,40.80047975091985,4.784045823807964,0.037841796875,0.05810546875,0.017578125,0.0004500099028258,189
51,242.8219176129084,248.64670153360203,4.931195890435299,0.03759765625,0.03759765625,0.03759765625,0.0001731565990265,336
52,236.4157278483183,205.37631888169145,4.915262183027959,0.0146484375,0.0166015625,0.0126953125,0.0001779661316809,163
53,259.5979178647079,285.1372214832216,4.996581168703469,0.019287109375,0.0107421875,0.02783203125,0.0002059268970075,174
54,250.42518869989163,148.61881978928722,4.969571487102852,0.015869140625,0.0166015625,0.01513671875,0.0002737785011681,215
55,272.23355106684454,122.7113971308805,4.837202474432625,0.013671875,0.009765625,0.017578125,0.0002336246124248,209
