		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    3    8    7   10    4    2    3    1 15.169371 0.055935 SUCCESS  76
100101000    5    4    7    4    5    3    1    8  7.275261 0.507246 SUCCESS  77
100110000    5    3    7   12    3    2    8    5 17.046083 0.029633 SUCCESS  78
100111000    3    4    5    4    7    7    8    2  6.808566 0.557421 SUCCESS  79
101000000    1    6    4    5    3    4    4    6  4.931853 0.764834 SUCCESS  80
101000100    3    4    3    6    3   12    6    3 14.434573 0.071118 SUCCESS  81
101001000    4    3    3    6    3    5    5    2  4.395649 0.819780 SUCCESS  82
101001100    4    6    5    7    1    1    2    7 10.439525 0.235521 SUCCESS  83
101010000    4    4    7    8    5    8    5    5  5.451507 0.708406 SUCCESS  84
101010100    6    3    1    4    4    3    6    4  5.666651 0.684515 SUCCESS  85
101011000    6    5    6    3    2    3    5    3  4.508186 0.808614 SUCCESS  86
101011100    5    6    9    3    4    3    2    5  7.275261 0.507246 SUCCESS  87
101100000    4    4    6    8    3    5    2    3  5.891724 0.659359 SUCCESS  88
101100100    3    5    5    6    3    5    3    2  4.240084 0.834839 SUCCESS  89
101101000    4    4    6    6    6    6    4    6  1.837097 0.985605 SUCCESS  90
101101100    1    7    6    5    4    3    2    3  7.784986 0.454750 SUCCESS  91
101110000    7    4    4    4    6    4    4    5  2.035691 0.979898 SUCCESS  92
101110100    5    2    5    2    0    2    2    3 12.729975 0.121484 SUCCESS  93
101111000    5    7    4    3    3    5    3    4  3.505286 0.898779 SUCCESS  94
101111100    4    1    6    8    6    8    4    6  8.460205 0.389853 SUCCESS  95
110000000    3    3    4    7    4    4    3    4  3.816417 0.873295 SUCCESS  96
110000010    4    5    7    4    4    7    9    6  6.298841 0.613796 SUCCESS  97
110000100    4    6    5    4    6    6    4    6  1.568996 0.991502 SUCCESS  98
110001000    1    7    5    3    5    1    3    3  9.522683 0.300137 SUCCESS  99
110001010    1    9    6    5    7    6    5    3  9.039438 0.338980 SUCCESS 100
110010000    4    6    9    7    4    1    5    3  9.082466 0.335387 SUCCESS 101
110010010    8    7    4    7    3    4    2    3  7.543363 0.479296 SUCCESS 102
110010100    5    5    6    5    8    2    2    5  5.848695 0.664176 SUCCESS 103
110011000    4    4    6    8    9    6    6    7  7.794916 0.453756 SUCCESS 104
110011010    2    6    8    6    1    7    3    6  9.506133 0.301412 SUCCESS 105
110100000    2    6    4    7    3    5    6    8  6.229333 0.621560 SUCCESS 106
110100010    2    6    1    4    8    8    8    4 11.737005 0.163329 SUCCESS 107
110100100    6    3    3    4    3    7    2    6  5.623622 0.689309 SUCCESS 108
110101000    4    5    5    4    4    8    5    4  2.727460 0.950280 SUCCESS 109
110101010    8    2    4    3    6    3    6    4  6.159825 0.629334 SUCCESS 110
110101100    3    5    7    3    1    1    6    4  9.211552 0.324765 SUCCESS 111
110110000    6    3   10    7    4    4    5    6  8.149075 0.419045 SUCCESS 112
110110010    4    3    6    6    2    4    3    3  4.819316 0.776702 SUCCESS 113
110110100    3    6    6    6    4    7    7    3  4.379100 0.821403 SUCCESS 114
110111000    8    9    5    2    4    3    7    4  9.463105 0.304746 SUCCESS 115
110111010    6    4    4    4    3    3    5    6  2.502387 0.961620 SUCCESS 116
110111100    3    6    7    4    5    5    4    2  4.041490 0.853361 SUCCESS 117
111000000    1    3    4    5    3    4    2    4  6.868144 0.550924 SUCCESS 118
111000010    6    9    6    7    6    5    5    5  5.408478 0.713157 SUCCESS 119
111000100    2    4    4    9    5    3    4    3  7.318290 0.502713 SUCCESS 120
111000110    8    3    5    6    5    3    8    2  7.655900 0.467784 SUCCESS 121
111001000    8    3    6    4    7    3    4    4  5.269463 0.728426 SUCCESS 122
111001010    6    4    4    9   10    3    3    2 13.008006 0.111574 SUCCESS 123
111001100    4    5    7    7    6    5   10   10 13.527661 0.094938 SUCCESS 124
111010000    5    3    2    3    1    6    5    5  6.669550 0.572669 SUCCESS 125
111010010    6    0    4    4    5    7    3    4  7.473855 0.486473 SUCCESS 126
111010100    4    4    2    5    6    8    6    3  5.425028 0.711331 SUCCESS 127
111010110    5    5    7    4    5    0    6    6  6.696029 0.569755 SUCCESS 128
111011000    8    4    9    5    7    5    5    6  7.103147 0.525546 SUCCESS 129
111011010    6    7    6    3    4    7    7    5  4.336071 0.825601 SUCCESS 130
111011100    8    8    4    7    6    4    7    6  6.947581 0.542299 SUCCESS 131
111100000    2    5    3    2    3    6    3   11 13.941398 0.083306 SUCCESS 132
111100010    1    2    4    6    9    7    4    3 10.820163 0.212099 SUCCESS 133
111100100    8    6    6    4    5    3    5    6  3.799867 0.874714 SUCCESS 134
111100110    3    7    5    4    5    4    6    9  5.918203 0.656394 SUCCESS 135
111101000    3    5    2    5    7    7    4    9  8.192103 0.414934 SUCCESS 136
111101010    9    4    4    4    9    6    6    2  9.999308 0.265074 SUCCESS 137
111101100    5    6    7    6    6    6    5    3  2.796968 0.946446 SUCCESS 138
111101110    8    6    3    5    6    6    9    7  8.218583 0.412415 SUCCESS 139
111110000    1    4    5    6    7    5    6   11 12.809413 0.118578 SUCCESS 140
111110010    6    5    2    6   10    4    9    3 12.385745 0.134805 SUCCESS 141
111110100    7    3    1    1    4    4    4   11 16.483400 0.035961 SUCCESS 142
111110110   10    8    5    2    6    5    6    3 10.691077 0.219825 SUCCESS 143
111111000    4    4    3    6    7    4    9    6  6.341870 0.608996 SUCCESS 144
111111010    9    1    3    5    5    4    7    8 10.734106 0.217225 SUCCESS 145
111111100    3    6    4    7    8    4   10    4 10.111845 0.257263 SUCCESS 146
111111110    7    4    6    5    5    4    9    3  5.918203 0.656394 SUCCESS 147

