Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.2891445993278192,20106,19894,1,212,0.11255772112944774,0.03118292555184649
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.044431188858863,20201,19799,1,402,0.11227043397441028,0.004602163177847307
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.0784078065749653,20176,19824,1,352,0.11221634418903775,0.0011430172156021523
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.0574331196320036,19810,20190,1,380,0.11097648535881346,0.0028668920133549172
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.3370552149336757,20096,19904,1,192,0.11234789984593108,0.05049337745394294
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0061439184373009,19726,20274,0,548,0.11147184405825891,0.011093971915614063
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.3320464921270593,20097,19903,1,194,0.11212657073639466,0.04836477182447611
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0601080779223996,20188,19812,1,376,0.11211558932916614,0.002704781242724952
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,5.456307142692236e-21,20940,19060,0,1880,0.10504657507927263,0.011034782935885262
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,1.1599826154675592e-34,18772,21228,0,2456,0.1027146868984207,0.010550306904640597
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0285242368213377,20219,19781,1,438,0.11136016592091313,0.006861791149789888
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.8103302566044084,20024,19976,1,48,0.110916588054935,0.48917947975383264
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,8.2521480847936e-10,20614,19386,0,1228,0.11092920785411511,0.012305288972060624
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.9362372559720252,20008,19992,1,16,0.11135136419104154,0.6804367344593087
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.741399962118693,20033,19967,1,66,0.11226298583517572,0.39581333492716697
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,2.522379334202197e-09,20596,19404,0,1192,0.10774376817432853,0.011608719036862147
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.464972369871728e-20,20924,19076,0,1848,0.09872013016032742,0.009745664098871988
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,1.4703667359814252e-29,21129,18871,0,2258,0.10751938992272358,0.011560419209354675
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.2301393404434166,20120,19880,1,240,0.11117862724695934,0.014151651284209761
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,1.278323499563951e-20,20931,19069,0,1862,0.11075278416229385,0.012266179199699648
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.2112995473337105,20125,19875,1,250,0.11144373224050393,0.009971183807928663
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.3953250862453848,19915,20085,1,170,0.11231964804110735,0.08009207805319513
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.2627137620854614,20112,19888,1,224,0.11058281851519522,0.023143823991579507
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,2.3369131189414823e-05,20423,19577,0,846,0.11232986021602293,0.012612747939787788
24,12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.0001446960878502,19620,20380,0,760,0.11055953730533058,0.012191437161081405
25,12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,0.0013742758758316,19680,20320,0,640,0.11073498232890043,0.011959764115914292
