Qubit,p_i
0,0.9881852551984844
1,0.9881852551984844
2,0.9144612476370482
3,0.9504962192816604
4,0.8648393194706968
5,0.9564035916824166
6,0.9787334593572748
7,0.9822778827977284
8,0.8471172022684285
9,0.9881852551984844
10,0.9763705103969724
11,0.9321833648393164
12,0.8412098298676723
13,0.9881852551984844
14,0.9881852551984844
15,0.9233223062381825
16,0.9475425330812824
17,0.9881852551984844
18,0.9386814744801484
19,0.9362003780718308
20,0.9846408317580309
21,0.9999999999999968
22,0.8589319470699407
23,0.9793241965973504
24,0.9528591682419628
25,0.9940926275992408
26,0.9528591682419628
27,0.823487712665404
28,0.9321833648393164
29,0.9528591682419628
30,0.8825614366729652
31,0.9410444234404508
32,0.8836247637051012
33,0.9410444234404508
34,0.9445888468809044
35,0.9292296786389384
36,0.9682183364839289
37,0.9091446124763676
38,0.958766540642719
39,0.9846408317580309
40,0.9351370510396946
41,0.9528591682419628
42,0.9881852551984844
43,0.9292296786389384
44,0.9999999999999968
45,0.9564035916824166
46,0.9203686200378044
47,0.9822778827977284
48,0.9564035916824166
49,0.9528591682419628
50,0.9564035916824166
51,0.8796077504725871
52,0.8559782608695626
53,0.958766540642719
54,0.9940926275992408
55,0.8742911153119066
56,0.9410444234404508
57,0.8707466918714529
58,0.9380907372400726
59,0.9940926275992408
60,0.9320652173913014
61,0.9351370510396946
62,0.990548204158787
63,0.9357277882797702
64,0.9410444234404508
65,0.9434073724007532
66,0.9822778827977284
67,0.9469517958412068
68,0.908553875236292
69,0.9351370510396946
70,0.9262759924385604
71,0.902646502835536
72,0.9504962192816604
73,0.9881852551984844
74,0.9564035916824166
75,0.9416351606805264
76,0.9528591682419628
77,0.9439981096408288
78,0.9881852551984844
79,0.9999999999999968
80,0.9940926275992408
81,0.9846408317580309
82,0.9434073724007532
83,0.9363185255198456
84,0.9528591682419628
85,0.754962192816633
86,0.9940926275992408
87,0.9292296786389384
88,0.9351370510396946
89,0.9881852551984844
90,0.958766540642719
91,0.9351370510396946
92,0.9999999999999968
93,0.9999999999999968
94,0.9763705103969724
95,0.7277882797731549
96,0.9940926275992408
97,0.9410444234404508
98,0.9073724007561408
99,0.8973298676748555
100,0.9704631379962162
101,0.9233223062381825
102,0.9504962192816604
103,0.9623109640831728
104,0.9881852551984844
105,0.9564035916824166
106,0.575378071833647
107,0.9881852551984844
108,0.9623109640831728
109,0.010633270321361
110,0.9504962192816604
111,0.9710538752362918
112,0.9657372400756112
113,0.9881852551984844
114,0.9881852551984844
115,0.9881852551984844
116,0.8057655954631356
117,0.9881852551984844
118,0.9623109640831728
119,0.9351370510396946
120,0.9822778827977284
121,0.8996928166351579
122,0.9445888468809044
123,0.9764886578449874
124,0.9940926275992408
125,0.918005671077502
126,0.9999999999999968
