Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.6822129623482768e-25,9262,10738,0
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.0001006219221196,9725,10275,0
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,0.6007940159570008,10037,9963,1
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.4179260654592346e-06,9659,10341,0
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.5337748847220425,10044,9956,1
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.1231968980624617,9891,10109,1
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.179109192726722,10095,9905,1
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.0023613929626746,9785,10215,0
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.9887165844441504,9999,10001,1
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0104754553780556,9819,10181,1
10,362.2952834896347,239.40310009159612,0.0151,0.01,0.0202,0.0001022018257282,0.2578990352923396,10080,9920,1
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.4366766336748911,9945,10055,1
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.0327232518712883,9849,10151,1
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,0.0211571603264298,9837,10163,1
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.9099218741589818,10008,9992,1
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,0.0446238213591038,9858,10142,1
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,0.1614919304446302,10099,9901,1
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,0.0063443498295036,10193,9807,0
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.6817165041390478,10029,9971,1
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,0.2185601545094493,10087,9913,1
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.003576538210304,9794,10206,0
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.020378220475768,9836,10164,1
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.9099218741589818,10008,9992,1
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.1302267028364134,9893,10107,1
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,1.5158744068152416e-165,8061,11939,0
