		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.060547	M = 1575	N = 8	m = 9	n = 12600
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    3    4    4    3    3    4    5  2.455509 0.963773 SUCCESS   0
000000011    4    4    3    2    2    4    5    4  3.209430 0.920535 SUCCESS   1
000000101    6    5    4    1    2    3    6    2  9.557344 0.297478 SUCCESS   2
000000111    7    4    3    3    1    2    6    1 11.656240 0.167213 SUCCESS   3
000001001    3    4    4    5    6    3    4    7 10.281056 0.245851 SUCCESS   4
000001011    3    3    4    0    1    4    3    0  8.324012 0.402477 SUCCESS   5
000001101    2    2    1    1    4    3    4    5  5.471194 0.706229 SUCCESS   6
000001111    8    2    4    1    3    2    7    0 19.053601 0.014576 SUCCESS   7
000010001    0    2    0    4    1    4    3    4  8.996500 0.342591 SUCCESS   8
000010011    2    2    2    5    6    3    4    2  5.980814 0.649381 SUCCESS   9
000010101    2    2    1    3    3    3    6    1  6.520643 0.589119 SUCCESS  10
000010111    1    3    4    1    3    4    1    1  6.306550 0.612936 SUCCESS  11
000011001    0    3    5    5    7    2    3    5 12.542820 0.128578 SUCCESS  12
000011011    2    6    0    3    3    3    3    5  7.702749 0.463032 SUCCESS  13
000011101    2    2    2    4    3    4    1    4  3.453732 0.902751 SUCCESS  14
000011111    5    4    3    1    2    3    4    6  6.571867 0.583448 SUCCESS  15
000100011    1    2    1    4    1    4    4    2  5.929589 0.655119 SUCCESS  16
000100101    1    3    1    5    2    1    3    3  5.929589 0.655119 SUCCESS  17
000100111    3    3    3    1    5    3    3    1  4.126220 0.845560 SUCCESS  18
000101001    1    2    2    5    3    3    5    5  5.980814 0.649381 SUCCESS  19
000101011    1    2    2    4    2    5    4    2  4.798707 0.778858 SUCCESS  20
000101101    0    3    7    2    2    0    2    2 13.031424 0.110773 SUCCESS  21
000101111    1    4    5    1    3    3    0    4  7.865617 0.446706 SUCCESS  22
000110011    2    2    6    4    8    2    3    5 13.806361 0.086954 SUCCESS  23
000110101    6    0    2    1    5    4    2    0 12.949990 0.113582 SUCCESS  24
000110111    2    4    4    5    2    4    5    3  4.177444 0.840769 SUCCESS  25
000111001    2    4    4    7    2    1    2    3  8.375237 0.397700 SUCCESS  26
000111011    4    5    2    4    3    4    3    4  2.832469 0.944427 SUCCESS  27
000111101    7    4    3    7    5    2    3    1 13.806361 0.086954 SUCCESS  28
000111111    6    3    3    0    3    5    3    5  8.589329 0.378114 SUCCESS  29
001000011    8    5    2    8    0    3    1    4 22.925658 0.003461 FAILURE  30
001000101    4    3    4    2    2    1    2    4  3.453732 0.902751 SUCCESS  31
001000111    0    3    3    2    3    3    2    3  3.912127 0.864963 SUCCESS  32
001001011    3    1    1    3    1    2    4    4  5.257102 0.729776 SUCCESS  33
001001101    2    1    6    5    3    3    6    4  9.180383 0.327308 SUCCESS  34
001001111    4    5    2    2    2    5    0    1  8.538105 0.382744 SUCCESS  35
001010011    1    3    4    2    3    4    2    4  3.076772 0.929448 SUCCESS  36
001010101    2    3    3    0    3    1    2    2  5.715497 0.679066 SUCCESS  37
001010111    0    4    1    2    3    3    3    1  6.683511 0.571132 SUCCESS  38
001011011    1    2    6    5    2    0    3    5 10.769660 0.215095 SUCCESS  39
001011101    4    3    3    2    0    1    2    4  5.929589 0.655119 SUCCESS  40
001011111    1    6    4    2    2    4    3    3  5.685287 0.682437 SUCCESS  41
001100101    3    1    6    4    4    3    3    3  4.931366 0.764886 SUCCESS  42
001100111    2    3    3    7    3    7    2    2 11.574806 0.171207 SUCCESS  43
001101011    3    0    1    5    7    3    2    0 14.590492 0.067615 SUCCESS  44
001101101    1    5    6    1    2    1    3    5 10.097172 0.258272 SUCCESS  45
001101111    1    2    4    7    3    4    4    2  8.293803 0.405310 SUCCESS  46
001110101    3    3    4    2    1    2    5    4  4.044786 0.853060 SUCCESS  47
001110111    0    5    1    4    5    7    1    2 14.427624 0.071278 SUCCESS  48
001111011    2    5    3    3    3    2    2    1  3.830693 0.872067 SUCCESS  49
001111101    5    3    1    2    2    3    2    5  5.094234 0.747458 SUCCESS  50
001111111    7    4    5    1    5    6    4    5 13.939019 0.083369 SUCCESS  51
010000011    4    0    7    3    6    3    2    7 17.168798 0.028399 SUCCESS  52
010000111    7    3    0    6    1    3    3    4 13.001215 0.111808 SUCCESS  53
010001011    5    4    4    2    3    0    2    6  8.670764 0.370826 SUCCESS  54
010001111    5    2    1    2    4    2    3    2  4.503180 0.809115 SUCCESS  55
010010011    2    2    5    6    0    4    5    4  9.934304 0.269667 SUCCESS  56
010010111    2    2    2    3    2    4    6    5  5.980814 0.649381 SUCCESS  57
010011011    1    2    4    5    2    2    5    1  6.816169 0.556590 SUCCESS  58
010011111    4    8    2    2    5    6    2    2 14.183321 0.077111 SUCCESS  59
010100011    7    1    2    3    4    5    3    1 10.015738 0.263923 SUCCESS  60
010100111    2    2    3    3    2    3    2    2  1.894665 0.984073 SUCCESS  61
010101011    3    3    5    0    2    2    2    2  5.929589 0.655119 SUCCESS  62
010101111    1    2    0    1    1    4    2    3  8.486880 0.387410 SUCCESS  63
010110011    4    2    2    2    4    2    4    7  7.621315 0.471307 SUCCESS  64
010110111    2    2    4    4    2    1    5    5  5.685287 0.682437 SUCCESS  65
010111011    6    2    2    2    4    0    1    4  9.210592 0.324843 SUCCESS  66
