Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,P_Value_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0003198463104144,50569,49431,0,1138,0.06863905775363864,0.004667514652223982
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,5.3135111896915865e-05,50639,49361,0,1278,0.0737947426422643,0.005437824681162735
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,6.411808288439296e-05,50632,49368,0,1264,0.06630531783460164,0.004387896544546905
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.0051826964675438,49558,50442,0,884,0.06435390668032949,0.003501232118045673
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0001235338752603,50607,49393,0,1214,0.07112712045784729,0.005041509307590926
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0106151088799585,50404,49596,1,808,0.07167272316688386,0.003728032262410952
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.1138462980066581,50250,49750,1,500,0.07463024613698854,0.0015378987242446135
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,1.5626178533352696e-05,50683,49317,0,1366,0.07304177102663105,0.0053328178313753445
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,7.865056230537294e-34,51917,48083,0,3834,0.0742496145824394,0.005513005265640796
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,1.382720549774364e-38,47946,52054,0,4108,0.05833792209703377,0.0034033131545995812
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.0900790582048379,50268,49732,1,536,0.0662301475976747,0.0005687705371484611
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,1.4583212415023603e-16,51306,48694,0,2612,0.06614021867922054,0.004374528526935094
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,5.27446198720882e-10,50982,49018,0,1964,0.07103724630340774,0.005046290287434366
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.039226301578732,50326,49674,1,652,0.06822725083496682,0.0008410550577627071
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.88933934869504,50022,49978,1,44,0.0677625170321657,0.6749884903252069
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,3.9946062372506544e-15,51242,48758,0,2484,0.0685500195160663,0.004699105175652523
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.13715954076914e-60,52592,47408,0,5184,0.01859466772948005,0.00034576166796976683
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,3.315510600645362e-25,51640,48360,0,3280,0.0631652332262108,0.003989846688521605
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,9.230971872254138e-10,50968,49032,0,1936,0.0659516938607093,0.004349625801337076
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,2.594762188026084e-18,51380,48620,0,2760,0.07778355573097107,0.006050281542153081
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.1883393961819562,50208,49792,1,416,0.0732465853999839,0.013246355093694878
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.4905863491328546,49891,50109,1,218,0.07129175281793242,0.17580795849889355
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.2014045503398359,50202,49798,1,404,0.07620866332785368,0.015674010124717013
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,4.48159468709702e-08,50865,49135,0,1730,0.07339138534166328,0.0053862888641616645
