Qubit,p_i
0,0.7939508506616234
1,0.873700378071831
2,0.9822778827977284
3,0.8589319470699407
4,0.9881852551984844
5,0.9999999999999968
6,0.9763705103969724
7,0.8996928166351579
8,0.9682183364839289
9,0.9669187145557624
10,0.9623109640831728
11,0.9940926275992408
12,0.9233223062381825
13,0.9380907372400726
14,0.9734168241965944
15,0.9504962192816604
16,0.9351370510396946
17,0.9144612476370482
18,0.958766540642719
19,0.9445888468809044
20,0.8825614366729652
21,0.9304111531190896
22,0.9999999999999968
23,0.9781427221171992
24,0.3130907372400754
25,0.9580576559546284
26,0.802221172022682
27,0.9793241965973504
28,0.7136105860113402
29,0.9682183364839289
30,0.9940926275992408
31,0.9881852551984844
32,0.9822778827977284
33,0.8482986767485796
34,0.9881852551984844
35,0.9203686200378044
36,0.9564035916824166
37,0.9669187145557624
38,0.9710538752362918
39,0.7348771266540622
40,0.9940926275992408
41,0.9491965973534942
42,0.9499054820415848
43,0.9528591682419628
44,0.9881852551984844
45,0.8589319470699407
46,0.9564035916824166
47,0.958766540642719
48,0.9410444234404508
49,0.9245037807183336
50,0.91150756143667
51,0.9233223062381825
52,0.8707466918714529
53,0.2977315689981095
54,0.9469517958412068
55,0.9728260869565186
56,0.91150756143667
57,0.923913043478258
58,0.9469517958412068
59,0.9781427221171992
60,0.958766540642719
61,0.9763705103969724
62,0.9564035916824166
63,0.9475425330812824
64,0.9940926275992408
65,0.9410444234404508
66,0.9285207939508476
67,0.8943761814744774
68,0.9564035916824166
69,0.990548204158787
70,0.8116729678638918
71,0.9504962192816604
72,0.8973298676748555
73,0.9610113421550064
74,0.9704631379962162
75,0.9439981096408288
76,0.9292296786389384
77,0.9469517958412068
78,0.9351370510396946
79,0.9881852551984844
80,0.7762287334593551
81,0.958766540642719
82,0.9469517958412068
83,0.9940926275992408
84,0.967509451795838
85,0.9763705103969724
86,0.9881852551984844
87,0.92095935727788
88,0.9940926275992408
89,0.9669187145557624
90,0.9469517958412068
91,0.9881852551984844
92,0.967509451795838
93,0.8937854442344018
94,0.9410444234404508
95,0.5895557655954617
96,0.9822778827977284
97,0.9822778827977284
98,0.9504962192816604
99,0.8642485822306212
100,0.958766540642719
101,0.9351370510396946
102,0.7242438563327012
103,0.9757797731568968
104,0.9351370510396946
105,0.9940926275992408
106,0.9999999999999968
107,0.8855151228733432
108,0.9351370510396946
109,0.9174149338374262
110,0.9233223062381825
111,0.9704631379962162
112,0.6947069943289206
113,0.9564035916824166
114,0.9940926275992408
115,0.9008742911153091
116,0.9940926275992408
117,0.8530245746691846
118,0.9682183364839289
119,0.9321833648393164
120,0.8116729678638918
121,0.9999999999999968
122,0.9564035916824166
123,0.7466918714555745
124,0.9822778827977284
125,0.9793241965973504
126,0.9682183364839289
