Qubit,T1 (us),T2 (us),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,√x (sx) error ,P_Value,Zero,One,Quality
0,296.01266422162377,55.66947962356316,0.0612,0.0154,0.107,0.0003337185574513,1.1224297172983089e-29,38400,41600,0
1,293.0859541650365,218.02048857758984,0.0686999999999999,0.032,0.1054,0.0001579015360847,0.3187545296449681,39859,40141,1
2,350.1354184440218,292.3047007446352,0.0073999999999999,0.0098,0.005,0.0001769940778522,4.2189365240058034e-12,40980,39020,0
3,319.62785360958446,402.8027065495856,0.027,0.015,0.039,0.0007942618639421,1.2358214332363416e-31,38345,41655,0
4,350.8736869408533,252.53745354181584,0.0343,0.0482,0.0204,0.0006255546447642,0.0001097883232382,40547,39453,0
5,90.67182520176674,132.42551394672216,0.007,0.0098,0.0042,0.0003683814200176,0.7131002767842509,39948,40052,1
6,127.79422205260616,69.26538338139814,0.0089,0.008,0.0098,0.0002681680629049,0.9099218741589818,40016,39984,1
7,291.9011229003346,317.71290492372606,0.0189,0.0194,0.0184,0.0005264943040941,0.0178455284733929,39665,40335,1
8,263.8408658169988,177.76473334811678,0.0174999999999999,0.0068,0.0282,0.0001646276217161,0.0004649465910044,40495,39505,0
9,296.85016432205566,142.871476085231,0.0050999999999999,0.0036,0.0066,0.0001317819105984,0.0092640524466373,39632,40368,0
10,362.2952834896347,239.40310009159612,0.0151,0.01,0.0202,0.0001022018257282,0.2005932259666371,39819,40181,1
11,201.47529363302263,229.8989973408266,0.1441,0.1258,0.1624,0.0002637852245137,0.4927802203336367,39903,40097,1
12,236.5857128954933,161.04445122616264,0.0144999999999999,0.0132,0.0158,0.0001966517342673,0.0001593988311675,39466,40534,0
13,367.6289596855888,129.38116092632035,0.021,0.0188,0.0232,0.0001741829033762,2.4273850932808808e-12,39009,40991,0
14,187.05082065819923,117.10206255311776,0.0164999999999999,0.0146,0.0184,0.0001408424856035,0.7664780770178965,40042,39958,1
15,134.99003243534105,30.72728187850089,0.0080999999999999,0.0108,0.0054,0.000703466496972,9.89673462524562e-06,39375,40625,0
16,148.275781264609,18.80196008217021,0.0171999999999999,0.0186,0.0158,0.0002529120167948,2.403468262870055e-31,41647,38353,0
17,342.06517625741174,352.68055275755825,0.0153999999999999,0.0192,0.0116,0.000130909004173,3.2899018430414304e-17,41193,38807,0
18,237.48670125926893,99.25478719443323,0.1049999999999999,0.1026,0.1074,0.0002277523337247,0.0002111910557762,40524,39476,0
19,250.38800283922544,106.50686691929664,0.0836,0.084,0.0832,0.0001460116581338,5.047396323649556e-14,41065,38935,0
20,348.90597566130697,298.3332866176694,0.0205999999999999,0.0106,0.0306,0.0001362529865693,0.0333046446483369,39699,40301,1
21,314.6772261355906,148.48086952810115,0.0069,0.0074,0.0064,0.0001703045022685,0.000138234771828,39461,40539,0
22,257.02443174527474,171.94281021723154,0.0101999999999999,0.0128,0.0076,0.0001449622227063,0.0951625730847832,39764,40236,1
23,251.3557590510598,261.44381322722074,0.0181,0.0094,0.0268,0.0001649700924885,0.0691766340110351,39743,40257,1
24,224.8677845874205,107.52780857420278,0.138,0.0298,0.2462,0.0002037669930192,0.0,32600,47400,0
25,106.40240101992632,137.45164129792326,0.0101999999999999,0.0084,0.012,0.0003636490316071,0.4664177315848508,40103,39897,1
26,229.8920280055933,150.69124569939885,0.0087,0.0052,0.0122,0.0002235953334198,1.0312177160696916e-34,38262,41738,0
27,310.21216809647814,216.5901852580537,0.0721,0.0304,0.1138,0.000150915278777,6.660142433233878e-06,40637,39363,0
28,126.40760417134015,55.672504651627385,0.0419,0.01,0.0738,0.0010163964042193,9.214168599261253e-103,36956,43044,0
29,256.4800696912566,203.81273590678435,0.0363,0.0124,0.0602,0.0001773222568844,0.7078340606485755,39947,40053,1
30,204.3786849105484,68.35317153754441,0.0074999999999999,0.0076,0.0074,0.0001920389571397,0.2107233096378661,40177,39823,1
31,201.34167046633223,55.79580215746857,0.0069,0.0078,0.006,0.0002681767619568,0.0389464904868819,40292,39708,1
32,274.925978146232,368.4998148193293,0.0122999999999999,0.0096,0.015,0.0001288425761862,0.4535359030648584,40106,39894,1
33,220.73033213712145,138.15604866387386,0.0157,0.023,0.0084,0.0006536185354247,1.279803104996803e-52,42159,37841,0
34,220.17534149130623,165.31414586587553,0.0439,0.0286,0.0592,0.0002477562506179,0.0518299272179097,40275,39725,1
35,247.77640359741304,158.97399002667245,0.0161999999999999,0.0156,0.0168,0.000201851707169,9.005472353522979e-08,39244,40756,0
36,137.6752875519037,199.1870372830564,0.0234999999999999,0.0122,0.0348,0.0001942662132049,0.2056129376436554,39821,40179,1
37,163.87786768234994,111.51958587534926,0.014,0.008,0.02,0.0001591393024009,0.0819498958732386,39754,40246,1
38,180.60578533865095,125.70839750543348,0.0207,0.0206,0.0208,0.0002537688304751,6.862272175808052e-05,40563,39437,0
39,326.04710546743013,116.96129348926732,0.0631,0.015,0.1112,0.0002295790966674,1.9817654912574693e-75,37401,42599,0
40,260.39794013471175,29.96169074861419,0.0121,0.0118,0.0124,0.0001553159094285,0.5620309098445605,39918,40082,1
41,139.644259078749,135.19879067306215,0.0111999999999999,0.0176,0.0048,0.0002681654857437,0.0883572994199394,40241,39759,1
42,262.057206173568,147.05548105977508,0.0082999999999999,0.0076,0.009,0.0001673448393004,0.2608858707953834,39841,40159,1
43,344.95093936790244,259.41524596689703,0.036,0.0106,0.0614,0.0002940613306225,7.496339239067425e-13,38986,41014,0
44,274.83280061623645,20.989648502944377,0.0178,0.018,0.0176,0.0006335972692559,0.305219376214592,40145,39855,1
45,175.0572866534028,26.943689894687424,0.0504999999999999,0.04,0.061,0.000489863171324,7.31086968553041e-21,38675,41325,0
46,302.2657362102225,181.2055747783264,0.0247,0.0394,0.01,0.0004839145008253,0.0051079996131864,40396,39604,0
47,128.65172030773795,116.28837036719212,0.0113999999999999,0.0118,0.011,0.0002492082350824,5.398754687403324e-08,40769,39231,0
48,211.96764523375836,83.43121491310072,0.0157,0.015,0.0164,0.0002088411588674,0.0327232518712883,39698,40302,1
49,368.45746620419743,58.91577968992095,0.0088,0.0086,0.009,0.0002395226980741,2.3185041261098583e-06,40668,39332,0
50,323.15601260175265,40.52824889729639,0.0142999999999999,0.0146,0.014,0.0003802472579601,2.8481687823258282e-21,41339,38661,0
51,266.97764859603586,263.9818411346945,0.0185999999999999,0.0282,0.009,0.0004440670652592,6.110917557806694e-38,41821,38179,0
52,133.03833632753395,124.86643338054108,0.0155999999999999,0.0142,0.017,0.0002321239600403,7.948313140267866e-25,38545,41455,0
53,98.69109651084143,192.79688703800105,0.1247,0.1752,0.0742,0.0016294278843945,0.0,49922,30078,0
54,246.30607705839176,115.96313056693208,0.0154999999999999,0.0146,0.0164,0.0003097778407972,0.0016920516349352,40444,39556,0
