Unnamed:_0,Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,_x_sx_error_,P_Value,Zero,One,Quality,abs,Zero_pred,RSE
0,0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.0089806712418988,30320,29680,0,640,30340,400
1,0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.0820105416336192,30213,29787,1,426,30326,12769
2,1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,1.206435163089384e-05,30536,29464,0,1072,30411,15625
3,1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.7133031738784577,29955,30045,1,90,30082,16129
4,2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.0011890601080095,30397,29603,0,794,30356,1681
5,2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.0012954016599891,29606,30394,0,788,30195,346921
6,3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.3823081571552292,30107,29893,1,214,30332,50625
7,3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.0087684086017947,30321,29679,0,642,30200,14641
8,4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,2.973477147502343e-32,31448,28552,0,2896,30739,502681
9,4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,9.009429711644779e-30,28612,31388,0,2776,29818,1454436
10,5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.055013832353979,30235,29765,1,470,30136,9801
11,5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.0005527870245165,30423,29577,0,846,30683,67600
12,6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,5.212430513980893e-06,30558,29442,0,1116,30969,168921
13,6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.0529784062634977,30237,29763,1,474,30105,17424
14,7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.4774858652667186,29913,30087,1,174,30208,87025
15,7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,2.82134106863843e-08,30680,29320,0,1360,29499,1394761
16,8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,2.1429988623011947e-26,31302,28698,0,2604,37195,34727449
17,8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,2.6658455143148426e-30,31401,28599,0,2802,31050,123201
18,9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.0195340079215622,30286,29714,1,572,30456,28900
19,9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,3.2361004548521275e-10,30770,29230,0,1540,30953,33489
20,10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.4624327264504763,29910,30090,1,180,30254,118336
21,10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.0560557472418856,29766,30234,1,468,30328,315844
22,11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.0015785484205704,30387,29613,0,774,30245,20164
23,11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,5.4187484152015535e-06,30557,29443,0,1114,30325,53824
24,12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.0560557472418856,29766,30234,1,468,30173,165649
25,12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,4.3940403693750094e-12,29152,30848,0,1696,30155,1006009
26,13,269.3716591911651,86.06568861150538,0.0234999999999999,0.0324,0.0146,0.0001718197335038,0.624206114766406,30060,29940,1,120,30745,469225
27,13,446.8310757521897,91.48537843271934,0.0263671875,0.0224609375,0.0302734375,0.0002448923424111,0.0529784062634977,29763,30237,1,474,30150,149769
28,14,381.364641319099,353.08039047033486,0.0042999999999999,0.0058,0.0028,9.86243916207e-05,0.0519845269346612,30238,29762,1,476,30334,9216
29,14,277.3241490267648,330.23714298621314,0.005126953125,0.0068359375,0.00341796875,0.0001521463069938,0.0454552948490585,30245,29755,1,490,30348,10609
30,15,380.5148007759491,70.9926395505747,0.0263671875,0.0146484375,0.0380859375,0.0005410877531115,0.00056976027172,30422,29578,0,844,29787,403225
31,15,351.40390800435887,66.71791674174106,0.0537999999999999,0.0594,0.0482,0.0005933173513627,0.6299956425486466,29941,30059,1,118,30692,564001
32,16,321.5433335740062,110.69141580900484,0.0143999999999999,0.0258,0.003,0.0001677639083568,1.8078115827543667e-10,30781,29219,0,1562,30835,2916
33,16,421.7006835936474,127.82068064772756,0.03125,0.0224609375,0.0400390625,0.0001224419363492,0.0014508616333606,29610,30390,0,780,29932,103684
34,17,413.9342007875416,69.63560089463772,0.058837890625,0.0634765625,0.05419921875,0.0003925617269211,0.0957825432836284,30204,29796,1,408,30658,206116
35,17,319.23929768270386,53.07364689001495,0.0840999999999999,0.0684,0.0998,0.0009645795234531,0.010353340365105,29686,30314,1,628,29787,10201
36,18,253.64926408586183,46.74275835758955,0.004,0.0056,0.0024,0.0001865333712593,0.1227874631446709,29811,30189,1,378,30340,279841
37,18,433.1155608043481,49.28161580992735,0.005126953125,0.00830078125,0.001953125,0.0002011995683007,0.0006621477217548,30417,29583,0,834,30418,1
38,19,333.4311638524518,214.7167540188217,0.036376953125,0.03466796875,0.0380859375,0.0002530893888037,0.0217700932183542,29719,30281,1,562,30285,320356
39,19,377.9497975617496,248.63158659548463,0.0249,0.0328,0.017,0.0002305068238674,1.600394846217534e-09,30739,29261,0,1478,30703,1296
40,20,499.33639789182257,482.8878544435456,0.038,0.0656,0.0104,0.0001311830987886,6.2895148869822e-70,32165,27835,0,4330,31673,242064
41,20,339.0853438381704,375.1828995075223,0.03759765625,0.0380859375,0.037109375,0.0001372428937304,0.3477455989106976,29885,30115,1,230,30390,255025
42,21,245.21169798908497,184.49806855661336,0.0181,0.015,0.0212,0.0010471091820151,0.0777938529147896,30216,29784,1,432,30180,1296
43,21,460.1333054724943,200.501943565756,0.013427734375,0.01025390625,0.0166015625,0.0001612039165746,0.3477455989106976,30115,29885,1,230,30143,784
44,22,278.23988086421,193.66022799336963,0.0137,0.0194,0.008,0.0004911670884429,9.4692785384602e-09,30703,29297,0,1406,30570,17689
45,22,357.88071469841464,77.1937803857095,0.01708984375,0.01318359375,0.02099609375,0.0014673078659458,2.620994896350834e-10,29226,30774,0,1548,30148,850084
46,23,368.0803094625602,204.066024814404,0.0244999999999999,0.0292,0.0198,0.0001038686399743,2.806466697984205e-05,30513,29487,0,1026,30548,1225
47,23,366.3085538123374,224.2832264052,0.019287109375,0.025390625,0.01318359375,8.93210573995e-05,0.1530418841588201,30175,29825,1,350,30598,178929
48,24,285.1667977138692,63.84447589504281,0.0214999999999999,0.038,0.005,0.0005389203724846,3.680523424694995e-16,30998,29002,0,1996,31106,11664
49,24,279.97420964851904,64.22718195242905,0.03515625,0.03662109375,0.03369140625,0.0005624431509975,2.272840505027888e-06,30579,29421,0,1158,30438,19881
50,25,233.1146118369276,270.27334464098,0.008056640625,0.0078125,0.00830078125,0.0001205871463051,0.2332279147606263,30146,29854,1,292,30264,13924
51,25,213.10008177147807,214.97895745808407,0.0081999999999999,0.0092,0.0072,0.0001997416674999,2.7631063733838385e-10,30773,29227,0,1546,30325,200704
52,26,219.62803350377453,99.1169433243085,0.014404296875,0.0107421875,0.01806640625,0.000557874937009,6.774838237238631e-08,30661,29339,0,1322,30131,280900
53,26,201.77862814514555,111.7846024582242,0.0131999999999999,0.0234,0.003,0.0005804951562454,3.704254149888283e-18,31064,28936,0,2128,30783,78961
54,27,332.557869074629,85.03105020263008,0.02978515625,0.0234375,0.0361328125,0.000294284489091,1.434215057364858e-28,28642,31358,0,2716,30046,1971216
55,27,334.32316153631774,75.71208309358087,0.0466999999999999,0.0448,0.0486,0.0010823300318048,1.3447403562684047e-105,27327,32673,0,5346,30326,8994001
56,28,133.1504765786334,13.080782805984336,0.009,0.0122,0.0058,0.0007595681908885,3.487043829434732e-12,30852,29148,0,1704,30443,167281
57,28,162.32937852863975,10.93371745807039,0.010009765625,0.0087890625,0.01123046875,0.0002304421589034,0.0077728927675768,30326,29674,0,652,30226,10000
58,29,263.4147997986309,183.5994925204549,0.0128,0.0144,0.0112,0.0002398904963465,0.7875881292838937,30033,29967,1,66,30368,112225
59,29,370.3552342447836,291.9396826793077,0.013427734375,0.01611328125,0.0107421875,0.0001324387905479,3.341279112702039e-07,30625,29375,0,1250,30419,42436
60,30,241.1891709937709,127.16372945099214,0.0647999999999999,0.0766,0.053,0.0016334954345116,4.822134315143435e-06,30560,29440,0,1120,31041,231361
61,30,261.38301339728554,136.0188136677001,0.080078125,0.076171875,0.083984375,0.0008176402826895,1.1778654613510506e-10,29211,30789,0,1578,30329,1249924
62,31,348.4274771920665,163.21716314057332,0.0147,0.0178,0.0116,0.0003144129240637,0.0252732300978455,30274,29726,1,548,30447,29929
63,31,329.44374555262414,149.60927895829292,0.009521484375,0.01611328125,0.0029296875,0.0006914961450172,2.393126190579056e-09,30731,29269,0,1462,30604,16129
64,32,320.63676515264206,105.41346912633394,0.04248046875,0.0439453125,0.041015625,0.0001690132228895,0.1131929528882179,30194,29806,1,388,30452,66564
65,32,316.32686993921106,98.36629237799556,0.0191999999999999,0.029,0.0094,0.0001395752559647,7.419161552674042e-08,29341,30659,0,1318,30774,2053489
