"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","60.47969240018557","4.721905257319033","-0.31197865973435573","0.033203125","0.0283203125","0.0380859375","1300","0.00017340657404783612","0","0.00017340657404783612","0.00017340657404783612","","","true"
"1","158.45256790461264","306.6382369930084","4.815136886686477","-0.3097440319777085","0.02490234375","0.01611328125","0.03369140625","1300","0.00007170781241057278","0","0.00007170781241057278","0.00007170781241057278","1_0:0.0040578106201873965","1_0:660","true"
"2","227.8750927230388","267.9119653614913","4.609656708225","-0.3090875180776862","0.014892578125","0.0166015625","0.01318359375","1300","0.00032936840857770565","0","0.00032936840857770565","0.00032936840857770565","2_1:0.006144337094518004","2_1:660","true"
"3","366.26759284804547","391.6436882299018","4.875546361672497","-0.30968652168552707","0.023681640625","0.00927734375","0.0380859375","1300","0.0001072344262964962","0","0.0001072344262964962","0.0001072344262964962","3_2:0.013003315651866743","3_2:660","true"
"4","172.24369977361226","171.70368343098505","4.818169983483916","-0.3103713081153928","0.015625","0.0126953125","0.0185546875","1300","0.00010723411515067485","0","0.00010723411515067485","0.00010723411515067485","4_15:0.008381633305015623;4_3:0.0031591019275276633;4_5:0.0038845020494818194","4_15:660;4_3:660;4_5:660","true"
"5","225.67540407570323","220.38074977243463","4.7341547310763685","-0.3114518235315779","0.009033203125","0.00537109375","0.0126953125","1300","0.00008961549266666091","0","0.00008961549266666091","0.00008961549266666091","","","true"
"6","223.59246244380788","83.15010574387493","4.876291127043162","-0.30918835047116894","0.018798828125","0.025390625","0.01220703125","1300","0.0002654272281749001","0","0.0002654272281749001","0.0002654272281749001","6_5:1;6_7:0.029589117993669256","6_5:660;6_7:660","true"
"7","305.1706883653607","263.13964607048615","4.967503228716928","-0.30745739300983294","0.009521484375","0.0087890625","0.01025390625","1300","0.0002545484611121736","0","0.0002545484611121736","0.0002545484611121736","7_8:0.004407708637854613","7_8:660","true"
"8","326.53473998060616","243.50256007339945","4.902360994902699","-0.30837827664687645","0.010498046875","0.0107421875","0.01025390625","1300","0.00017744873445840027","0","0.00017744873445840027","0.00017744873445840027","8_9:0.006335458085292733","8_9:660","true"
"9","406.53941390709633","173.71557353229463","4.987233567312411","-0.3080310587566364","0.008056640625","0.00732421875","0.0087890625","1300","0.00013186479732938593","0","0.00013186479732938593","0.00013186479732938593","","","true"
"10","170.16594938485383","222.03664718935835","4.831527244497341","-0.3097434424405673","0.02197265625","0.01806640625","0.02587890625","1300","0.00012143295763124916","0","0.00012143295763124916","0.00012143295763124916","10_9:0.003853309955493933;10_11:0.006663883382696578","10_9:660;10_11:660","true"
"11","205.7224190331731","434.74928590199846","4.9723887191418505","-0.307214316560019","0.15966796875","0.15185546875","0.16748046875","1300","0.00017598602714042345","0","0.00017598602714042345","0.00017598602714042345","11_12:0.004469601116733557","11_12:660","true"
"12","338.3716887812377","164.3107462057929","4.936321850521629","-0.3079608272575031","0.017822265625","0.01123046875","0.0244140625","1300","0.00012793504969185596","0","0.00012793504969185596","0.00012793504969185596","12_17:0.005385422413429541","12_17:660","true"
"13","252.9946090284145","61.5982989786162","5.005803758042261","-0.3067650398842775","0.028076171875","0.01806640625","0.0380859375","1300","0.0002414188771671013","0","0.0002414188771671013","0.0002414188771671013","13_12:0.006291288633674619","13_12:660","true"
"14","276.9729936703178","122.97014735055659","4.903344737422966","-0.308419961199297","0.0166015625","0.01220703125","0.02099609375","1300","0.00021068527085091419","0","0.00021068527085091419","0.00021068527085091419","14_0:0.005849004499098753;14_18:0.006168224072880535","14_0:660;14_18:660","true"
"15","304.941767605406","42.92847532995483","4.947907109315612","-0.308052427832017","0.01220703125","0.01220703125","0.01220703125","1300","0.0003592117090424454","0","0.0003592117090424454","0.0003592117090424454","15_22:0.010821382182939099","15_22:660","true"
"16","252.38336309162125","16.372709835707646","4.960332209675662","-0.3076594514774509","0.01806640625","0.013671875","0.0224609375","1300","0.0002968054869654284","0","0.0002968054869654284","0.0002968054869654284","16_8:0.006579387307501294;16_26:0.032300532473475085","16_8:660;16_26:660","true"
"17","183.08100247970776","221.53029918683947","4.820815999107069","-0.30970435909943395","0.017333984375","0.01171875","0.02294921875","1300","0.00016920537750961815","0","0.00016920537750961815","0.00016920537750961815","17_30:0.005634465760921303","17_30:660","true"
"18","119.68547096349434","93.22240520103266","4.788131681391996","-0.31063598977187784","0.0166015625","0.01904296875","0.01416015625","1300","0.00031598754889437634","0","0.00031598754889437634","0.00031598754889437634","18_19:0.007271683067000989","18_19:660","true"
"19","320.13979732006476","139.52284668740532","4.7470127541983","-0.31072395279331844","0.01513671875","0.0234375","0.0068359375","1300","0.00020945190220974185","0","0.00020945190220974185","0.00020945190220974185","","","true"
"20","205.82183123493158","219.76466909033044","4.862344373616834","-0.3090978906556921","0.0185546875","0.00927734375","0.02783203125","1300","0.00021637630164613193","0","0.00021637630164613193","0.00021637630164613193","20_33:0.031582618564811316;20_19:0.010547419130837232","20_33:660;20_19:660","true"
"21","250.23070936166386","134.4814964627794","4.966489178568096","-0.30694839478531033","0.009521484375","0.00634765625","0.0126953125","1300","0.0001452744100939355","0","0.0001452744100939355","0.0001452744100939355","21_20:0.0062597749578285344;21_22:0.004632188993850539","21_20:660;21_22:660","true"
"22","275.8668086066445","201.19256018723257","5.038195362941405","-0.3065535436677073","0.02099609375","0.03369140625","0.00830078125","1300","0.00036385823389042975","0","0.00036385823389042975","0.00036385823389042975","22_23:0.006075257361955355","22_23:660","true"
"23","337.75458633878696","183.01285187082897","4.844979209579568","-0.309395699354676","0.00927734375","0.01025390625","0.00830078125","1300","0.00014962988429879969","0","0.00014962988429879969","0.00014962988429879969","","","true"
"24","230.84873319825118","119.6171321492539","5.10078649303592","-0.3054983979252499","0.12548828125","0.01416015625","0.23681640625","1300","0.0001558721660167606","0","0.0001558721660167606","0.0001558721660167606","24_23:0.004337968320984986;24_34:0.07022793310890624","24_23:660;24_34:660","true"
"25","215.43562208361718","178.22225809635287","4.945225748546381","-0.3084275156167526","0.02099609375","0.00390625","0.0380859375","1300","0.00014887907919388928","0","0.00014887907919388928","0.00014887907919388928","25_24:0.005477851778668996","25_24:660","true"
"26","228.94403018509547","17.493510576837703","4.854111516835544","-0.30976922795032275","0.030029296875","0.04736328125","0.0126953125","1300","0.0017859892335793963","0","0.0017859892335793963","0.0017859892335793963","26_25:0.03392413267121697","26_25:660","true"
"27","326.91858935625186","227.6277868179083","4.747642528677403","-0.31027519414312993","0.064208984375","0.08984375","0.03857421875","1300","0.00014709137168444615","0","0.00014709137168444615","0.00014709137168444615","27_26:0.03036031856167043","27_26:660","true"
"28","225.45173929366408","100.80527155061424","4.994404735606249","-0.3073714140177614","0.043212890625","0.01123046875","0.0751953125","1300","0.00041310800855918063","0","0.00041310800855918063","0.00041310800855918063","28_27:0.007569790386178166;28_29:0.008875690531599867;28_35:0.005556269293224114","28_27:660;28_29:660;28_35:660","true"
"29","330.0988703062876","295.2070706019093","4.62864352948515","-0.3122408870668324","0.0185546875","0.02490234375","0.01220703125","1300","0.0001988376610223029","0","0.0001988376610223029","0.0001988376610223029","","","true"
"30","451.54306417141504","64.82208370954781","4.732967566627754","-0.31090012417705765","0.009765625","0.01025390625","0.00927734375","1300","0.000311518443753431","0","0.000311518443753431","0.000311518443753431","30_29:0.004951593296080359;30_31:0.010238222006211828","30_29:660;30_31:660","true"
"31","83.55821541336894","60.487242828271604","4.797663384807813","-0.31025628620305007","0.00830078125","0.00830078125","0.00830078125","1300","0.001516844969510513","0","0.001516844969510513","0.001516844969510513","31_32:0.007544585903871304","31_32:660","true"
"32","199.16315807280392","229.88400733265004","4.9103797489987215","-0.3078794303810588","0.015625","0.0126953125","0.0185546875","1300","0.00015044233602210384","0","0.00015044233602210384","0.00015044233602210384","32_36:0.006105099696456395","32_36:660","true"
"33","260.99290474339494","130.71509707998825","4.973179697471859","-0.3075486854907048","0.019775390625","0.0087890625","0.03076171875","1300","0.0001634929853537396","0","0.0001634929853537396","0.0001634929853537396","33_39:0.009335367386554827","33_39:660","true"
