		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 58.578125	M = 30000	N = 8	m = 9	n = 240000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   50   51   51   68   71   55   56   59  7.963927 0.437002 SUCCESS   0
000000011   54   59   58   70   65   51   68   48  7.966134 0.436785 SUCCESS   1
000000101   70   58   60   70   65   72   50   63 10.199764 0.251284 SUCCESS   2
000000111   64   44   59   57   63   55   60   42  9.776097 0.281094 SUCCESS   3
000001001   47   59   66   42   51   66   65   57 10.951663 0.204453 SUCCESS   4
000001011   55   56   46   62   78   62   53   55 10.983658 0.202627 SUCCESS   5
000001101   53   72   47   71   57   53   58   60  9.454485 0.305417 SUCCESS   6
000001111   62   65   58   60   70   60   68   52  5.645895 0.686828 SUCCESS   7
000010001   55   60   59   75   59   64   52   45  9.565918 0.296823 SUCCESS   8
000010011   65   55   71   46   57   68   66   47 11.420565 0.178989 SUCCESS   9
000010101   65   68   79   66   60   65   57   54 11.807272 0.160012 SUCCESS  10
000010111   48   50   51   58   68   60   64   58  6.421514 0.600126 SUCCESS  11
000011001   48   50   58   64   55   45   52   67  9.295610 0.317976 SUCCESS  12
000011011   56   60   49   65   74   59   49   67  9.573641 0.296234 SUCCESS  13
000011101   69   46   61   52   59   64   55   54  6.695684 0.569793 SUCCESS  14
000011111   50   69   61   57   60   61   55   67  4.981157 0.759588 SUCCESS  15
000100011   72   56   69   54   68   67   59   54  8.777059 0.361451 SUCCESS  16
000100101   51   66   49   60   51   43   58   59  8.948071 0.346696 SUCCESS  17
000100111   60   59   67   50   63   59   74   55  7.362629 0.498060 SUCCESS  18
000101001   59   53   54   73   54   55   53   61  5.842834 0.664832 SUCCESS  19
000101011   65   61   64   69   67   57   62   62  4.977295 0.760000 SUCCESS  20
000101101   46   60   41   63   56   58   53   61  9.404285 0.309347 SUCCESS  21
000101111   54   49   65   50   64   63   50   65  6.907518 0.546643 SUCCESS  22
