		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 70.785156	M = 36250	N = 8	m = 9	n = 290000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   95   74   84   60   79   69   71   76 14.398205 0.071959 SUCCESS   0
000000011   87   72  101   63   70   70   69   61 19.548750 0.012185 SUCCESS   1
000000101   67   62   55   66   83   74   61   78  9.801554 0.279231 SUCCESS   2
000000111   76   76   86   64   73   71   73   57  7.769276 0.456326 SUCCESS   3
000001001   76   77   68   73   69   71   81   89  7.565204 0.477051 SUCCESS   4
000001011   71   63   55   65   89   73   74   71 10.085635 0.259067 SUCCESS   5
000001101   88   74   85   78   75   78   61   76 11.008983 0.201191 SUCCESS   6
000001111   82   69   78   66   73   60   81   41 19.234995 0.013652 SUCCESS   7
000010001   65   83   61   87   78   66   70   92 15.587714 0.048676 SUCCESS   8
000010011   70   73   82   63   75   72   78   83  6.024845 0.644449 SUCCESS   9
000010101   73   81   75   75   77   71   61   66  4.413381 0.818035 SUCCESS  10
000010111   71   50   36   66   78   80   75   75 26.843996 0.000752 FAILURE  11
000011001   66   76   62   71   70   68   69   70  2.037901 0.979828 SUCCESS  12
000011011   79   65   84   64   94   63   56   75 16.910533 0.031054 SUCCESS  13
000011101   68   74   57   80   56   79   79   65  9.935320 0.269595 SUCCESS  14
000011111   83   65   79   65   65   60   76   55 10.369259 0.240059 SUCCESS  15
000100011   62   71   78   89   74   71   72   68  7.022266 0.534232 SUCCESS  16
000100101   62   81   66   71   81   62   62   62  7.894025 0.443890 SUCCESS  17
000100111   78   90   81   70   74   61   72   77  9.823354 0.277644 SUCCESS  18
000101001   73   76   61   69   58   79   64   84  8.512063 0.385112 SUCCESS  19
000101011   47   73   71   86   78   67   60   74 14.539275 0.068748 SUCCESS  20
000101101   73   71   68   66   76   65   65   69  1.941914 0.982741 SUCCESS  21
000101111   72   72   57   78   83   72   72   65  6.291578 0.614607 SUCCESS  22
000110011   61   78   81   72   63   65   73   69  5.197827 0.736238 SUCCESS  23
000110101   80   71   74   73   64   67   78   73  3.177876 0.922704 SUCCESS  24
000110111   74   66   75   53   75   70   64   60  8.006562 0.432829 SUCCESS  25
000111001   73   76   77   80   79   76   61   58  7.443765 0.489595 SUCCESS  26
000111011   71   68   54   67   62   68   74   72  5.852731 0.663724 SUCCESS  27
000111101   62   78   71   72   68   74   66   71  2.509733 0.961276 SUCCESS  28
000111111   76   66   76   70   75   73   65   58  4.346270 0.824609 SUCCESS  29
001000011   86   71   74   76   63   76   78   74  6.125055 0.633226 SUCCESS  30
001000101   71   73   49   67   61   73   65   84 11.725747 0.163866 SUCCESS  31
001000111   56   66   68   69   76   74   73   75  4.567463 0.802646 SUCCESS  32
001001011   69   69   65   74   72   62   58   57  7.046349 0.531640 SUCCESS  33
001001101   69   68   74   80   74   82   77   68  4.217412 0.836994 SUCCESS  34
001001111   69   75   71   68   66   59   66   74  3.269183 0.916347 SUCCESS  35
001010011   72   78   74   68   65   69   61   73  3.052328 0.931031 SUCCESS  36
001010101   80   81   77   64   60   81   69   53 11.893068 0.156039 SUCCESS  37
001010111   65   73   69   68   80   68   69   75  2.380418 0.967074 SUCCESS  38
001011011   80   69   67   70   80   68   74   77  3.574493 0.893332 SUCCESS  39
001011101   58   65   60   69   75   73   64   75  5.886172 0.659981 SUCCESS  40
001011111   73   75   58   74   72   71   79   60  5.577667 0.694421 SUCCESS  41
001100101   75   70   63   80   75   71   68   69  2.814586 0.945449 SUCCESS  42
001100111   69   69   78   76   62   61   80   64  5.690317 0.681875 SUCCESS  43
001101011   75   59   66   61   72   55   63   52 13.724469 0.089236 SUCCESS  44
001101101   92   74   66   80   84   70   65   93 18.560004 0.017398 SUCCESS  45
001101111   75   76   77   72   75   65   74   59  4.171188 0.841357 SUCCESS  46
001110101   63   61   79   72   52   80   81   72 11.233485 0.188817 SUCCESS  47
001110111   68   64   55   72   66   68   64   72  5.589651 0.693088 SUCCESS  48
001111011   66   80   72   68   74   79   67   69  3.102661 0.927751 SUCCESS  49
001111101   71   59   80   73   77   54   77   79  9.572372 0.296331 SUCCESS  50
001111111   65   89   82   69   56   63   52   52 21.609676 0.005693 FAILURE  51
010000011   86   68   66   73   80   70   72   66  5.507017 0.702262 SUCCESS  52
010000111   88   70   66   88   49   85   83   67 21.276860 0.006447 FAILURE  53
010001011   80   81   71   74   65   63   67   89  9.347299 0.313850 SUCCESS  54
010001111   60   75   65   72   81   71   60   72  5.715313 0.679086 SUCCESS  55
010010011   57   73   66   79   65   73   72   66  5.084948 0.748459 SUCCESS  56
010010111   62   66   68   66   63   76   71   70  3.202301 0.921028 SUCCESS  57
010011011   79   77   68   78   73   87   78   77  7.661419 0.467222 SUCCESS  58
010011111   78   92   65   67   67   65   66   68  9.179978 0.327342 SUCCESS  59
010100011   71   88   84   71   72   63   82   74  9.777472 0.280993 SUCCESS  60
010100111   65   76   63   70   61   71   77   72  3.766011 0.877594 SUCCESS  61
010101011   70   83   87   59   73   88   63   50 19.656950 0.011715 SUCCESS  62
010101111   59   80   80   58   85   77   78   79 12.160713 0.144176 SUCCESS  63
