Qubit,T1_us,T2_us,Readout_assignment_error_,Prob_meas0_prep1_,Prob_meas1_prep0_,x_sx_error_,p_i,p_i_pred,RSE
0,384.8077310067106,486.23766078571145,0.0027,0.0044,0.001,0.0001327268526847,0.9940926275992408,0.9817814962964811,0.0001515639539537879
0,232.3192603398693,323.0582975949717,0.005126953125,0.00634765625,0.00390625,0.0001991776765114,0.9763705103969724,0.969558352389562,4.640549671792588e-05
1,460.1554823065436,171.8701412459624,0.0057,0.0086,0.0028,0.0004009879300176,0.9940926275992408,0.975952758279515,0.0003290548589367285
1,521.0552804202151,130.86193138748442,0.015869140625,0.01123046875,0.0205078125,0.000190538039894,0.9710538752362918,0.9698027298253724,1.565364839264721e-06
2,297.6389408350375,149.38970812380646,0.0046,0.0064,0.0028,0.0003890796801494,0.9999999999999968,0.9691017130739576,0.0009547041349638407
2,272.73794752613907,142.77383610540738,0.01171875,0.009765625,0.013671875,0.000131907626893,0.9728260869565186,0.9622716873263589,0.0001113953515531151
3,211.62128005649924,146.72567571405563,0.0062999999999999,0.0076,0.005,0.0001635116734481,0.9716446124763674,0.9638821159881445,6.025635172967135e-05
3,249.63594857402217,142.13468228326232,0.00634765625,0.0048828125,0.0078125,9.24995750204e-05,0.9457703213610557,0.9654312738989418,0.0003865530546970112
4,110.63914548442315,119.10729897263316,0.0653,0.0712,0.0594,0.0004795380529602,0.9321833648393164,0.9126519699569179,0.0003814753860521832
4,541.8192633031138,227.85974291043976,0.084716796875,0.06982421875,0.099609375,0.0005581641294551,0.9091446124763676,0.9189930459388554,9.699164166505084e-05
5,445.07588572049497,440.3779108063197,0.0127,0.0094,0.016,0.0002193882350308,0.967509451795838,0.9756424114653456,6.614503298583645e-05
5,438.15356415087024,442.81284248188086,0.016357421875,0.0244140625,0.00830078125,0.0001755001441622,0.9940926275992408,0.9725248321895297,0.0004651697988351552
6,274.93909720509214,147.01187276966468,0.0163999999999999,0.0304,0.0024,0.000415818029972,0.9504962192816604,0.9588113908969973,6.914207899250451e-05
6,372.895847892788,185.4006400646429,0.0126953125,0.0087890625,0.0166015625,9.25519982097e-05,0.9881852551984844,0.9668845320608975,0.00045372080618413026
7,410.7681347984127,363.2063834652582,0.005126953125,0.00390625,0.00634765625,9.83143923442e-05,0.9881852551984844,0.978357728193155,9.658028704047876e-05
7,287.7388438890699,157.7930903066063,0.0427999999999999,0.024,0.0616,0.000321030620219,0.9457703213610557,0.938958582192045,4.639979050663428e-05
8,423.20033408167046,316.26113499159607,0.15283203125,0.263671875,0.0419921875,0.057518967321455,0.9262759924385604,0.8647135571809762,0.0037899334348442467
8,454.8924923762133,297.7769648588041,0.0449,0.0586,0.0312,0.0007063328010428,0.9410444234404508,0.947805933447316,4.5718017572938254e-05
9,454.1564258582864,376.3262951626362,0.01416015625,0.017578125,0.0107421875,0.0001416230256928,0.958648393194704,0.9735065723563007,0.00022076548799810662
9,118.37388492679776,159.05165351485545,0.0178,0.0314,0.0042,0.0003092412718703,0.91150756143667,0.9510164132663846,0.001560949372902346
10,233.4033388653241,78.30533009331471,0.011962890625,0.01123046875,0.0126953125,0.000149263231242,0.9822778827977284,0.9589305216459333,0.000545099272752353
10,296.817946413255,84.01668052014429,0.0047,0.006,0.0034,0.0001695320061317,0.9698724007561406,0.9675552878547883,5.369012197613184e-06
11,145.4709866714758,179.5609297415617,0.0194999999999999,0.0178,0.0212,0.0007792412915607,0.9881852551984844,0.9513564003182338,0.0013563645517905639
11,242.6215792943725,220.72528313966023,0.004638671875,0.005859375,0.00341796875,0.0002078364101893,0.9564035916824166,0.9681715316603399,0.0001384844113240042
12,420.3339076984881,320.3019685662814,0.0193999999999999,0.0164,0.0224,0.0003009248493459,0.8973298676748555,0.966691917376236,0.004811093938776793
12,378.7884970988112,378.8805089027159,0.017822265625,0.0146484375,0.02099609375,0.0001044694326597,0.9416351606805264,0.9673466403042723,0.0006610801844422991
