		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 4.867188	M = 2500	N = 8	m = 9	n = 20000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    5    6    6    7    3    7    5    4  3.376200 0.908583 SUCCESS   0
000000011    6    6    7    0    3    3    3    3  9.479654 0.303461 SUCCESS   1
000000101    8    2    6   10    7    7   10    4 17.340664 0.026751 SUCCESS   2
000000111    4    6    5    2    7    5    6    3  4.154027 0.842966 SUCCESS   3
000001001    4    3    4    5    1    1    8    2 11.217351 0.189685 SUCCESS   4
000001011    6    5    3    8    5    8    5    9  8.797815 0.359638 SUCCESS   5
000001101    5    3    6    1    1    2    7    5 10.058886 0.260917 SUCCESS   6
000001111    8    9    2    2    5    7    3    2 12.627368 0.125330 SUCCESS   7
000010001    2    4    4    3    2    5    3    5  5.286012 0.726615 SUCCESS   8
000010011    3    3    2    5    3    2    6    1  9.142044 0.330455 SUCCESS   9
000010101    8    4    7   10    4    5   10    5 14.530560 0.068942 SUCCESS  10
000010111    5    7    6    8    3    7    8    8  9.178453 0.327466 SUCCESS  11
000011001    6    3    5    3    3    0    2    6  9.522683 0.300137 SUCCESS  12
000011011    4    4    5    5    2    6    4    4  2.657952 0.953958 SUCCESS  13
000011101    2    4    5    2   10    6    4    3 10.396496 0.238292 SUCCESS  14
000011111    7    7    4    3    4    6    4    5  3.419229 0.905367 SUCCESS  15
000100011    1    4    3    5    3    4    5    7  5.934752 0.654541 SUCCESS  16
000100101    7    2    3    3    3    7    6    4  6.315391 0.611949 SUCCESS  17
000100111    4    8    3    4    6    8    7    5  6.454406 0.596469 SUCCESS  18
000101001    7    2    7    5    8    5    5    7  6.722508 0.566846 SUCCESS  19
000101011   12    5    8    7    7    6    5    3 15.801561 0.045310 SUCCESS  20
000101101    4   10    3    4    3    3    4    6  8.546263 0.382004 SUCCESS  21
000101111    7    9    6    5    7    7    8    5  8.867323 0.353612 SUCCESS  22
000110011    5    3    8    5    3    1    3    8  9.549162 0.298104 SUCCESS  23
000110101    6    4    4    5    6    2    6    8  4.958332 0.762020 SUCCESS  24
000110111    6    5    3    3    7    6    8    4  5.226434 0.733123 SUCCESS  25
000111001    5    2    9    7    7    6    4    6  7.993509 0.434104 SUCCESS  26
000111011    4    4    4    1    8    7    5    4  6.851594 0.552726 SUCCESS  27
000111101    2    7    3    5    3    2    5    2  7.672449 0.466102 SUCCESS  28
000111111    7    4    3    2    5    4    6    5  4.041490 0.853361 SUCCESS  29
001000011    3    4    2    3    7    5    0    5  9.367118 0.312279 SUCCESS  30
001000101    5    5    5    5    7    7    5    0  6.964131 0.540508 SUCCESS  31
001000111    3    1    4    1    7    5    7    5  9.168524 0.328280 SUCCESS  32
001001011    6    3    4    4    6    5    7    3  3.306693 0.913664 SUCCESS  33
001001101    2    2    6    4    1    2    5    4  8.986479 0.343438 SUCCESS  34
001001111    4    7    5    7    8    7    8   11 15.179300 0.055751 SUCCESS  35
001010011    5    1    5    7    3    5    4    6  5.312491 0.723714 SUCCESS  36
001010101    7    6    3    9    3    7    5    5  7.301741 0.504454 SUCCESS  37
001010111   10    6    5    7    7    4    3    7  9.645149 0.290820 SUCCESS  38
001011011    5    9    4    6    2    7    5    7  7.725408 0.460742 SUCCESS  39
001011101    1    7    4    2    4    5    7    5  7.162725 0.519182 SUCCESS  40
001011111    5    7    7    6    8    4   11    6 12.680326 0.123332 SUCCESS  41
001100101    3    5    5    3    4    3    2    2  5.865244 0.662323 SUCCESS  42
001100111    3    4    9    6    3    3    4    6  6.696029 0.569755 SUCCESS  43
001101011    7    3    3    7    5    2    3    5  5.891724 0.659359 SUCCESS  44
001101101    6    6    1    8    5    6    4    5  6.229333 0.621560 SUCCESS  45
001101111    6    6    3    4    6    2    6    6  3.998461 0.857262 SUCCESS  46
001110101    0    2    5    7    5    6    5    3  8.744857 0.364275 SUCCESS  47
001110111    5    7    6    1    9    7    4    5  9.151974 0.329638 SUCCESS  48
001111011    2    5    5    6    3    3    8    5  5.580593 0.694096 SUCCESS  49
001111101    7    5    4    4    3    5    6   10  7.880973 0.445183 SUCCESS  50
001111111    6    6    7    1    3    2    5    7  8.122596 0.421587 SUCCESS  51
010000011    3    4    3    5    5    4    4    3  2.700981 0.951700 SUCCESS  52
010000111    2    2    4    5    8    4    1    5  9.055987 0.337595 SUCCESS  53
010001011    4    6    6    1    7    7    5    4  5.961232 0.651575 SUCCESS  54
010001111    4    3    6    5    5    2    5    1  6.090318 0.637116 SUCCESS  55
010010011    3    3    4    9    2    3    6    7  8.969930 0.344839 SUCCESS  56
010010111    5    3    4    7    7    1    5    5  6.004260 0.646755 SUCCESS  57
010011011    7    2    6    7    4    4    5    3  5.001361 0.757431 SUCCESS  58
010011111    4    7    6    3    5    7    6   11 11.339817 0.183178 SUCCESS  59
010100011    1    2    8   10    5    5    3    6 13.587239 0.093179 SUCCESS  60
010100111    4    5    5    3    3    3    2    7  5.087418 0.748193 SUCCESS  61
010101011    4    9    4    8    5    5    3    5  6.765537 0.562128 SUCCESS  62
010101111    5    8    3    3    5    6    5    6  4.110998 0.846972 SUCCESS  63
010110011    6    6    7    7    3    6    4    6  3.912404 0.864939 SUCCESS  64
010110111    6    6    6    6    4    4    4    8  3.644302 0.887706 SUCCESS  65
010111011    7    3    3    3    4    6    5    6  3.885925 0.867266 SUCCESS  66
010111111    6    7    7    5    8    6    7    6  5.789117 0.670840 SUCCESS  67
011000111    4    3    3    2    3   10    4    3 10.595090 0.225714 SUCCESS  68
011001111    8    4    6    3    4    5    6   10  9.264511 0.320476 SUCCESS  69
011010111    6    4    2    8    5    5    5    3  5.001361 0.757431 SUCCESS  70
011011111    3    8    3    4    5    4    6    6  4.422128 0.817172 SUCCESS  71
011101111    6    6    4    3    6    9    5    6  5.607072 0.691151 SUCCESS  72
011111111    3    5    8    3    3    5    9    5  7.924002 0.440929 SUCCESS  73
100000000    5    6    6    7    3    7    5    4  3.376200 0.908583 SUCCESS  74
100010000    8    5    2    3    3    6    4    1  8.900422 0.350766 SUCCESS  75
100100000    5    3    5    4    2    2    5    3  5.130447 0.743547 SUCCESS  76
100101000    2    2    4    7    5    5    2    2  8.096116 0.424138 SUCCESS  77
100110000    4    5    5    6    3    0    7    6  7.430827 0.490941 SUCCESS  78
100111000    5    3    4    4    5    2    2    3  5.286012 0.726615 SUCCESS  79
101000000    9    2    3    6    4    8    7    2 11.313338 0.184569 SUCCESS  80
101000100    5   11    3    6    5    5    4    5  9.151974 0.329638 SUCCESS  81
101001000    4    6    5    1    7    4    4    5  4.888824 0.769390 SUCCESS  82
101001100    4    6    1    6    6    6    6    1  7.854494 0.447811 SUCCESS  83
101010000    5    4    3    5    5    3    3    6  2.657952 0.953958 SUCCESS  84
101010100    5    4    6    7    5    5    4    5  1.568996 0.991502 SUCCESS  85
101011000    7    3    5    6    4    6    4    5  2.571895 0.958294 SUCCESS  86
101011100    4    5   10    6    7    3    3    9 12.074615 0.147906 SUCCESS  87
101100000    5    2    7    5   12    1    5    6 16.933547 0.030809 SUCCESS  88
101100100    5    5    8    3    9    5    6    7  7.682379 0.465095 SUCCESS  89
101101000    6    8    2    3    1    4    3    6  9.168524 0.328280 SUCCESS  90
101101100    5    9    1    2    4    4    7    5  9.817264 0.278087 SUCCESS  91
101110000    7    4    8    6    3   10    2    7 12.498282 0.130318 SUCCESS  92
101110100    4    4    6    5    5    2    6    4  2.770489 0.947925 SUCCESS  93
101111000    6    6    3    2    6    6    7    6  4.802767 0.778434 SUCCESS  94
101111100    6    7    5    2    7    3    7    1  8.814364 0.358197 SUCCESS  95
110000000    5    5    6    5    4    4    6    6  1.145328 0.997153 SUCCESS  96
110000010    9    7    9    3    6    6    4    8 11.720456 0.164119 SUCCESS  97
110000100    3    3    2    5    3    4    2    3  6.600042 0.580334 SUCCESS  98
110001000    6    3    3    4    2    5    5    2  5.398549 0.714252 SUCCESS  99
110001010    4    5    6    3    5    4    5    5  1.343922 0.995006 SUCCESS 100
110010000    3    3    4    3    4    4    5    7  3.660852 0.886354 SUCCESS 101
110010010    6    7    4    7    6    5    5    3  3.376200 0.908583 SUCCESS 102
110010100    2    1    6    5    4    2    1    6 10.525582 0.230055 SUCCESS 103
110011000    4    7    4    7    4    4    7    7  4.491636 0.810269 SUCCESS 104
110011010    6    5    7    6    7    4    3    5  3.376200 0.908583 SUCCESS 105
110100000    5    3    2    7    2    4    5    4  5.511085 0.701812 SUCCESS 106
110100010    4   12    4    3    6    8    3    5 14.927748 0.060566 SUCCESS 107
110100100    3    4    5    6    1    2    4    5  6.245883 0.619711 SUCCESS 108
110101000    2    4    5    7    8    5    1    9 11.737005 0.163329 SUCCESS 109
110101010    2    6    7    6    7    3    2    5  6.696029 0.569755 SUCCESS 110
110101100    6    7    6    2    1    4    7    4  7.698928 0.463418 SUCCESS 111
110110000    5    3    4    5    7    1    4   10 10.777135 0.214650 SUCCESS 112
110110010    5    5    6    3    5    6    3    5  2.035691 0.979898 SUCCESS 113
110110100    6    9    2    3    0    4    5    2 13.292658 0.102169 SUCCESS 114
110111000    9   12    6    4    5    9    4    4 18.767231 0.016155 SUCCESS 115
110111010    4    3    6    4    6    6    7    6  3.108099 0.927392 SUCCESS 116
110111100    8    7    7    2    6    4    7    7  8.106046 0.423180 SUCCESS 117
111000000    6    5   10    3    3    6    9    3 11.962078 0.152904 SUCCESS 118
111000010    4    9    4    4    2    3    5   10 12.160672 0.144178 SUCCESS 119
111000100    4    5    5    1    7    9    8    2 11.737005 0.163329 SUCCESS 120
111000110    7    5    5    5    9    5    4    6  5.027840 0.754596 SUCCESS 121
111001000    5    3    6    4    7    5    5    4  2.303793 0.970253 SUCCESS 122
111001010    5    2    7    7    6    2    4    8  7.924002 0.440929 SUCCESS 123
111001100    5    4    6    6    6    5    7    6  2.217736 0.973598 SUCCESS 124
111010000    6    4    2    7    4    2    7    0 11.018757 0.200639 SUCCESS 125
111010010    5    5    5   10    5    5    5    6  5.875174 0.661212 SUCCESS 126
111010100    4    4    3    4    4    8    4    8  5.693130 0.681562 SUCCESS 127
111010110    5   10    4    5    5    4    7    6  7.146175 0.520947 SUCCESS 128
111011000    3    4    3    3    4    5    5   11 10.509033 0.231099 SUCCESS 129
111011010    3    5    5    2    4    4    7    0  8.787885 0.360505 SUCCESS 130
111011100    6    6    2    2    5    9    5    4  7.811465 0.452100 SUCCESS 131
111100000    9    7    6    5    5    7    7    4  6.947581 0.542299 SUCCESS 132
111100010    5    5    6    1    7    9   10    7 14.573589 0.067987 SUCCESS 133
111100100    3    6    7    4    2    3    6    3  5.623622 0.689309 SUCCESS 134
111100110    6    7    4    3   12    4    2    6 15.083313 0.057546 SUCCESS 135
111101000    4    9    3    5    5    6    7    2  7.500335 0.483733 SUCCESS 136
111101010    6    5    2    1    5    8    1    9 14.053935 0.080370 SUCCESS 137
111101100    3    6    3    8    4    6    5    8  6.341870 0.608996 SUCCESS 138
111101110    6    4    3    4    2    7    8    5  6.116797 0.634151 SUCCESS 139
111110000    3    9    7    5    3    6   11    5 14.305487 0.074142 SUCCESS 140
111110010    4    4    7    2    2    4    4    3  5.822216 0.667139 SUCCESS 141
111110100    5    9    7    8    4    5    7    3  8.529713 0.383506 SUCCESS 142
111110110    4    7    3    7    4    5    7    8  6.030739 0.643788 SUCCESS 143
111111000    8    6    9    3    5    6   10    8 14.643097 0.066468 SUCCESS 144
111111010    6    9    4    4    3    4    7    5  6.073768 0.638969 SUCCESS 145
111111100    3    4    8    2    4    3    8    7  8.658799 0.371891 SUCCESS 146
111111110    3    5    8    3    3    5    9    5  7.924002 0.440929 SUCCESS 147

