Qubit,p_i
0,0.9445888468809044
1,0.918005671077502
2,0.9940926275992408
3,0.8559782608695626
4,0.96455576559546
5,0.9999999999999968
6,0.9380907372400726
7,0.9546313799621898
8,0.9940926275992408
9,0.9623109640831728
10,0.9663279773156868
11,0.9351370510396946
12,0.9999999999999968
13,0.9822778827977284
14,0.9564035916824166
15,0.908553875236292
16,0.9292296786389384
17,0.9445888468809044
18,0.9445888468809044
19,0.9881852551984844
20,0.9002835538752335
21,0.9940926275992408
22,0.967509451795838
23,0.9245037807183336
24,0.6616257088846863
25,0.8648393194706968
26,0.9504962192816604
27,0.9564035916824166
28,0.8412098298676723
29,0.9386814744801484
30,0.9940926275992408
31,0.966446124763702
32,0.9515595463137966
33,0.9822778827977284
34,0.9380907372400726
35,0.9469517958412068
36,0.9793241965973504
37,0.9822778827977284
38,0.982868620037804
39,0.9564035916824166
40,0.9999999999999968
41,0.92095935727788
42,0.990548204158787
43,0.923913043478258
44,0.9940926275992408
45,0.9504962192816604
46,0.9274574669187116
47,0.9822778827977284
48,0.9940926275992408
49,0.9527410207939478
50,0.8973298676748555
51,0.9386814744801484
52,0.9410444234404508
53,0.9321833648393164
54,0.9999999999999968
55,0.9881852551984844
56,0.9623109640831728
57,0.9564035916824166
58,0.9445888468809044
59,0.9469517958412068
60,0.8908317580340237
61,0.9710538752362918
62,0.9763705103969724
63,0.9274574669187116
64,0.9881852551984844
65,0.9999999999999968
66,0.9327741020793922
67,0.9504962192816604
68,0.8973298676748555
69,0.9292296786389384
70,0.9534499054820386
71,0.9032372400756116
72,0.958766540642719
73,0.990548204158787
74,0.972235349716443
75,0.9822778827977284
76,0.9704631379962162
77,0.9822778827977284
78,0.967509451795838
79,0.9940926275992408
80,0.9881852551984844
81,0.9410444234404508
82,0.9032372400756116
83,0.9763705103969724
84,0.958766540642719
85,0.9351370510396946
86,0.9763705103969724
87,0.9410444234404508
88,0.9999999999999968
89,0.9763705103969724
90,0.9469517958412068
91,0.9757797731568968
92,0.9763705103969724
93,0.9469517958412068
94,0.9475425330812824
95,0.0637996219281663
96,0.9940926275992408
97,0.929820415879014
98,0.9881852551984844
99,0.9469517958412068
100,0.9763705103969724
101,0.9569943289224924
102,0.9763705103969724
103,0.9416351606805264
104,0.929820415879014
105,0.9822778827977284
106,0.9426984877126624
107,0.9504962192816604
108,0.9150519848771238
109,0.9881852551984844
110,0.9416351606805264
111,0.9386814744801484
112,0.9940926275992408
113,0.9881852551984844
114,0.8471172022684285
115,0.9999999999999968
116,0.9445888468809044
117,0.9445888468809044
118,0.9564035916824166
119,0.9682183364839289
120,0.9120982986767456
121,0.9940926275992408
122,0.9940926275992408
123,0.9822778827977284
124,0.9881852551984844
125,0.8914224952740993
126,0.9881852551984844
